,2015 Rank,2016 Rank,2017 Rank,3 Year Average,Aims Achieved,Career Progress Rank,Careers Service Rank,Country,Employment,Female Faculty %,Female Student %,Internships,Intl. Faculty,Intl. Students,Intl. board,Intl. course,Intl. mobility,Languages,Max. Course Fee (Local Currency),Num. enrolled 16/17,PHD Faculty,Prog length,Programme Name,Relevant degree,Salary Percentage Inc,Salary Today US$,School Name,URL,Value,Weighted Salary US$,Woman Board
72,74,72,73,73,87,56,28,UK,79 (48),31,54,43,54,63,42,79,77,0,"17,000",46,95,12,MSc in Management,No,51,"44,148",Lancaster University Management School,/businessschoolrankings/lancaster-university-management-school/masters-in-management-2017#masters-in-management-2017,66,"44,148",42
73,71,83,74,76,83,38,89,UK,96 (83),32,62,0,64,63,29,82,78,0,"15,750",86,100,12,MSc in Management,No,51,"47,040",University of Bath School of Management,/businessschoolrankings/university-of-bath-school-of-management/masters-in-management-2017#masters-in-management-2017,86,"47,040",29
74,48,60,75,61,80,82,67,France,85 (68),56,63,100,50,18,50,5,60,2,"21,500",305,69,24,La Rochelle Master in Management,No,37,"50,866",La Rochelle Business School,/businessschoolrankings/esc-la-rochelle/masters-in-management-2017#masters-in-management-2017,73,"50,690",33
75,-,-,76,-,81,84,69,Singapore,69 (94),22,60,0,66,93,53,81,25,0,"S$39,500",127,95,12,MSc in Management,No,36,"55,346",Singapore Management University: Lee Kong Chian,/businessschoolrankings/singapore-management-university-lee-kong-chian/masters-in-management-2017#masters-in-management-2017,91,"55,346",24
76,73,71,77,74,85,87,58,Norway,98 (97),27,43,18,25,18,12,53,93,0,"NKr168,000",347,75,24,MSc in Business,Yes,38,"63,802",BI Norwegian Business School,/businessschoolrankings/bi-norwegian-school-of-management/masters-in-management-2017#masters-in-management-2017,36,"63,618",50
77,-,-,78,-,88,28,48,UK,n/a,34,58,3,56,94,0,87,48,0,"15,400",98,95,16,MSc in Management,No,61,"44,623",Brunel Business School,/businessschoolrankings/brunel-university/masters-in-management-2017#masters-in-management-2017,93,"44,623",25
78,61,74,79,71,80,47,87,UK,100 (40),44,43,0,28,83,43,89,27,0,"14,950",86,86,12,MSc in Management,No,44,"41,990",University of Bradford School of Management,/businessschoolrankings/bradford-school-of-management/masters-in-management-2017#masters-in-management-2017,64,"41,990",29
79,-,76,80,-,80,76,79,France,69 (75),59,53,100,23,13,25,21,42,2,"17,000",441,77,36,MSc in Management,No,38,"49,440",EM Strasbourg Business School,/businessschoolrankings/em-strasbourg-business-school/masters-in-management-2017#masters-in-management-2017,58,"49,552",28
80,76,67,81,75,77,83,62,France,92 (92),44,54,100,40,22,22,25,61,2,"19,000",499,75,32,Master in Management,Yes,31,"48,081",Burgundy School of Business,/businessschoolrankings/burgundy-school-of-business/masters-in-management-2017#masters-in-management-2017,76,"47,876",24
81,72,81,82,78,81,36,93,Czech Republic,95 (82),45,56,9,7,19,35,63,68,1,"Kc97,200",402,85,28,Master in Management,No,70,"38,356","University of Economics, Prague",/businessschoolrankings/university-of-economics-prague/masters-in-management-2017#masters-in-management-2017,26,"38,542",20
82,80,80,83,81,86,68,44,UK,40 (14),34,51,0,49,80,24,85,80,0,"19,000",105,86,11,MSc in International Management,No,43,"48,152",University of Exeter Business School,/businessschoolrankings/university-of-exeter/masters-in-management-2017#masters-in-management-2017,59,"48,152",18
83,-,-,84,-,83,73,55,Portugal,75 (49),47,52,0,9,26,78,74,92,0,"9,800",61,98,23,MSc in Business Administration,No,48,"39,738",ISCTE Business School,/businessschoolrankings/iscte-business-school/masters-in-management-2017#masters-in-management-2017,22,"39,738",50
84,78,78,84,80,76,18,43,Italy,96 (71),37,34,50,9,27,59,65,72,0,"6,717",693,77,25,MSc in Management Engineering,No,55,"44,169",Politecnico di Milano School of Management,/businessschoolrankings/politecnico-di-milano-school-of-management/masters-in-management-2017#masters-in-management-2017,27,"42,734",41
85,-,86,86,-,85,63,91,Ireland,93 (75),49,28,0,13,44,17,89,51,0,"14,000",64,80,12,MSc in Management,No,34,"46,013",DCU Business School,/businessschoolrankings/dcu-business-school/masters-in-management-2017#masters-in-management-2017,31,"46,013",42
86,-,82,87,-,76,95,74,US,51 (100),24,41,0,30,28,2,89,5,0,"43,682",39,90,9,MSc in Management,No,40,"56,500",Arizona State University: Carey,/businessschoolrankings/arizona-state-university-carey/masters-in-management-2017#masters-in-management-2017,53,"56,500",12
87,-,-,88,-,81,33,63,UK,73 (68),36,79,91,44,96,12,86,53,0,"21,000",95,90,14,MSc in Business Analysis and Strategic Management,No,40,"43,755",Alliance Manchester Business School,/businessschoolrankings/manchester-business-school/masters-in-management-2017#masters-in-management-2017,85,"43,755",44
88,-,84,89,-,76,42,95,Netherlands,77 (51),19,43,16,41,21,0,80,46,0,"14,000",98,83,14,MSc in International Management,Yes,33,"55,838",Tilburg University,/businessschoolrankings/tilburg-university/masters-in-management-2017#masters-in-management-2017,17,"55,838",40
89,-,87,90,-,80,80,64,Taiwan,89 (100),26,55,41,9,5,38,66,82,1,"NT$216,560",42,99,27,Master of Business Administration,No,30,"41,205",National Sun Yat-sen University,/businessschoolrankings/national-sun-yat-sen-university/masters-in-management-2017#masters-in-management-2017,37,"41,205",38
90,-,88,91,-,82,61,42,UK,100 (2),40,66,0,60,97,10,89,89,0,"19,500",67,73,12,MSc in Management,No,59,"33,822","Adam Smith Business School, University of Glasgow",/businessschoolrankings/adam-smith-business-school/masters-in-management-2017#masters-in-management-2017,95,"33,822",30
91,77,78,92,82,77,89,72,France,83 (74),58,36,100,34,21,0,51,59,2,"23,250",177,68,24,Master in Management,No,32,"47,098",ESC Clermont,/businessschoolrankings/esc-clermont/masters-in-management-2017#masters-in-management-2017,62,"46,942",11
92,-,-,93,-,82,57,25,UK,87 (60),46,43,100,32,88,26,88,69,0,"14,250",150,60,13,MSc in Management,No,30,"32,316",Nottingham Business School at NTU,/businessschoolrankings/nottingham-business-school/masters-in-management-2017#masters-in-management-2017,87,"32,316",26
93,-,-,94,-,80,8,90,Italy,55 (67),26,45,100,11,10,89,55,73,0,"20,500",267,49,25,Master in Management,Yes,69,"44,827",Luiss University,/businessschoolrankings/luiss-university/masters-in-management-2017#masters-in-management-2017,84,"44,827",33
94,-,-,95,-,85,94,92,Belgium,98 (40),38,39,3,9,1,0,54,88,0,"1,750",210,88,24,MSc in Business Engineering,Yes,24,"45,894",KU Leuven Faculty of Economics and Business,/businessschoolrankings/ku-leuven/masters-in-management-2017#masters-in-management-2017,28,"45,894",11
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
