,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name
21,['University of Memphis'],United States,http://www.mastersportal.eu/studies/129970/physics.html,msc,,,,,1054,USD,module,79,"The Department of Physics and Materials Science offers a major in Physics for the Master of Science degree with concentrations in General Physics, Computational Physics and Materials Science. Program objectives are: (1) development of an in-depth and specialized knowledge of physical phenomena; (2) ability to successfully demonstrate analytic cognitive knowledge in physics and communications skills through close interaction with other students and the physics faculty; and (3) preparation to continue studies in a PhD program, enter a professional school, or enter the workforce as a technical professional.",Physics
22,"['College of Liberal Arts and Sciences', 'Wayne State University']",United States,http://www.mastersportal.eu/studies/120351/physics.html,ma,,,,,,,,79,"The Master of Arts in Physics is essentially a non-research degree designed primarily for students who do not require a research degree to satisfy their career objectives; however, the degree does not exclude the possibility of continuing work toward the Ph.D.",Physics
23,['University of Massachusetts Boston'],United States,http://www.mastersportal.eu/studies/128981/applied-physics.html,msc,24,months,,,33915,USD,year,79,"The UMass Boston Applied Physics Master’s Program is built around the idea that physics is an approach to thinking about and solving problems rather than a specific set of skills. Our goal is to train students in this approach and give them a general toolbox of techniques that will allow them to pursue quantitative problems, regardless of the specific fields in which they find themselves. ",Applied Physics
24,"['University of Glasgow', 'College of Science and Engineering']",United Kingdom,http://www.mastersportal.eu/studies/45678/physics-nuclear-technology.html,msc,12,months,,,20150,GBP,year,90,"The Masters in Physics - Nuclear Technology at the University of Glasgow provides an understanding of the application of nuclear processes and technology to energy generation, medical physics and environmental monitoring, and at a level appropriate for a professional physicist.",Physics - Nuclear Technology
25,['University of Mississippi'],United States,http://www.mastersportal.eu/studies/176300/physics.html,msc,,,,,849,USD,credit,79,"Graduate work in physics is planned primarily to meet the needs of students who are looking forward to professional careers in physics, either as teachers or as research physicists. The M.S. degree requires a thesis project based on original research.",Physics
26,"['Institute for Cross-Disciplinary Physics and Complex Systems (IFISC)', 'University of the Balearic Islands']",Spain,http://www.mastersportal.eu/studies/42183/physics-of-complex-systems.html,,12,months,60,,1806,EUR,year,,"Physics has been extremely successful in finding the basic principles obeyed by the ""building blocks"" of matter and radiation. The laws of quantum mechanics applied to elementary particles (electrons, photons, protons, etc.) have led to a good understanding of the basic properties of these particles, as well as atoms and simple molecules.",Physics of Complex Systems
27,['Iowa State University'],United States,http://www.mastersportal.eu/studies/62313/applied-physics.html,msc,,,,,10993,USD,semester,79,"Physics and astronomy explores the behavior and structure of matter and energy at all levels to help describe our world and the universe. Physics has helped us contemplate the origins of the universe and develop new products and technologies that meet human needs. The fundamental laws of physics find application in almost every branch of science, engineering and technology.",Applied Physics
28,['University of Rhode Island'],United States,http://www.mastersportal.eu/studies/113196/physics.html,msc,24,months,,,24206,USD,year,80,"The department offers a Master of Science (M.S.) degree in Physics, with both thesis and non-thesis options. There is considerable flexibility in the selection of courses, including those from related disciplines, which permits highly individualized programs of study. Thesis research can be carried out in any area in which a student and a faculty member find a common interest, though the bulk of present research efforts at the doctoral level are centered in the broad area of condensed matter physics.",Physics
29,['Rochester Institute of Technology'],United States,http://www.mastersportal.eu/studies/64404/astrophysical-sciences-and-technology.html,msc,24,months,,,20902,USD,semester,79,There has never been a more exciting time to study the universe beyond the confines of the Earth. A new generation of advanced ground-based and space-borne telescopes and enormous increases in computing power are enabling a golden age of astrophysics.,Astrophysical Sciences and Technology
30,"['Department of Physics', 'University of Trieste']",Italy,http://www.mastersportal.eu/studies/39050/physics.html,msc,24,months,120,,,,,,The Master’s Programme in Physics from University of Trieste aims to provide postgraduate students with a solid scientific preparation and excellent practical skills in frontier fields of Physical Sciences.,Physics
31,['Clark Atlanta University'],United States,http://www.mastersportal.eu/studies/186642/physics.html,msc,,,,,861,USD,credit,,"The Department provides instruction and practice leading to the following degrees: Bachelor of Science degree in physics, Bachelor of Science with a dual major in physics and engineering in cooperation with the Department of Engineering, and an accelerated program that awards both a Bachelor of Science and a Master of Science degree in physics in five years.",Physics
32,['Kansas State University'],United States,http://www.mastersportal.eu/studies/62838/physics.html,msc,,,,,909,USD,credit,79,"The department of Physics offers an M.S. in Physics.  However, please note that in the candidate selection process, strong preference is given to applicants who want to study for a Ph.D.  You should also be aware that in our system, it is not necessary to get an M.S. before studying for a Ph.D.  It is possible to do, but will typically delay receiving your Ph.D. by several months.  Most students go directly for their Ph.D.",Physics
33,['Memorial University of Newfoundland'],Canada,http://www.mastersportal.eu/studies/168518/physical-oceanography.html,msc,24,months,,,1239,CAD,year,80,"The Department of Physics and Physical Oceanography at Memorial University of Newfoundland has a well-established graduate studies program backed by a strong tradition of research. The Department has offered MSc programs since the inception of graduate studies at Memorial in 1960 and its first PhD program was created in 1969. In the present day, the students are supervised by faculty with international experience, connections, and recognition.",Physical Oceanography
34,"['Faculty of Mechanical Engineering - Laboratory for Tribology and Interface Nanotechology', 'University of Ljubljana']",Slovenia,http://www.mastersportal.eu/studies/38442/tribology-of-surfaces-and-interfaces-tribos.html,msc,24,months,120,,8000,EUR,year,92,"TRIBOS Joint Master Programme provides the students with the high-level contemporary knowledge, required for the next generation of engineers and scientists to tackle highly-interdisciplinary tribology-related problems.",Tribology of Surfaces and Interfaces - TRIBOS
35,"['Politecnico Di Milano', 'School of Industrial and Information Engineering']",Italy,http://www.mastersportal.eu/studies/48632/engineering-physics.html,msc,24,months,120,,3900,EUR,year,78,The aim of the Master of Science programme in Engineering Physics from Politecnico Di Milano is to prepare professionals with a sound expertise in science and an engineering attitude. ,Engineering Physics
36,['Delta State University'],United States,http://www.mastersportal.eu/studies/206940/physical-sciences.html,msc,,,,,3369,USD,semester,70,The Department of Biological Sciences and Department of Physical Sciences offers the following masters degree programs for students desiring specialized training in the biological or physical sciences beyond the baccalaureate level.,Physical Sciences
37,['Imperial College London'],United Kingdom,http://www.mastersportal.eu/studies/84913/photonics.html,mres,12,months,90,,24000,GBP,year,92,"Photonics is an exciting area of physics, which enables developments in fields as diverse as biomedical imaging and high power fibre lasers. 
The Department of Physics has a long and successful research record in imaging and photonics. This 12-month MRes, built on our renowned MSc in Optics and Photonics, usually forms the first year of the four-year (MRes+PhD) research training programme in the Photonics group. 
Some funded studentships for the combined MRes and PhD programme are available to Home/EU students.",Photonics
38,"['Faculty of Science', 'University of Amsterdam']",Netherlands,http://www.mastersportal.eu/studies/22081/chemistry-molecular-simulation-and-photonics.html,msc,24,months,120,,12000,EUR,year,90,"Molecular Simulation and Photonics focuses on state-of-the-art computational and photonic research of structure, dynamics and function in atomic, (bio)molecular and multiscale systems.",Chemistry: Molecular Simulation and Photonics
39,"['The City University of New York, York College']",United States,http://www.mastersportal.eu/studies/209001/physician-assistant.html,,,,,,,,,,The ARC-PA has granted Continued Accreditation to the Physician Assistant Program sponsored by York College-CUNY. ,Physician Assistant
40,"['ETH Zurich - Swiss Federal Institute of Technology', 'Natural Sciences and Mathematics']",Switzerland,http://www.mastersportal.eu/studies/35850/physics.html,msc,18,months,90,,542,EUR,semester,100,"We aim for a Master program with a broad selection of courses, covering all major aspects of modern physics. The Master program should encourage breadth, but it should also enable students to specialise if they choose to do so.",Physics
41,['Saint Petersburg State Polytechnic University'],Russia,http://www.mastersportal.eu/studies/194700/mesoscopics-and-advanced-materials.html,,24,months,120,,4095,EUR,year,,"The Master's Degree Program in Physics is tailored to BSc graduates who are aspired to deepen their knowledge of physics and to pursue a research career within a university, industrial or research laboratory. The program provides professional knowledge and practical skills in the prospective areas of modern physics: nanophysics and physics of advanced materials with unique properties.",Mesoscopics and Advanced Materials
42,"['Wayne State University', 'College of Education']",United States,http://www.mastersportal.eu/studies/117453/science-education.html,med,,,,,,,,79,This program is designed for teachers who wish to enhance their knowledge and skills for teaching science. The Master of Education in Science may be completed in programs with orientations suitable to teachers certified for elementary or secondary teaching. The programs differ in their science and science education requirements.,Science Education
43,['University at Buffalo'],United States,http://www.mastersportal.eu/studies/101836/biophysics.html,msc,24,months,,,41838,USD,year,79,"The graduate program leading to the M.S. degree in Biophysical Sciences is intended to provide a sound scientific foundation for those planning to pursue a career in research, teaching, or applied biophysics.",Biophysics
44,['University of North Carolina Chapel Hill'],United States,http://www.mastersportal.eu/studies/209028/biochemistry-and-biophysics.html,msc,24,months,,,,,,90,The Biochemistry and Biophysics program is offered at University of North Carolina Chapel Hill.,Biochemistry and Biophysics
45,['James Cook University'],Australia,http://www.mastersportal.eu/studies/62258/natural-and-physical-sciences.html,mphil,24,months,,,36000,AUD,year,90,"The Master of Philosophy (MPhil) offers postgraduate research supervision on a smaller scale than the PhD, towards which it can provide a pathway.",Natural and Physical Sciences
46,['University of North Carolina Chapel Hill'],United States,http://www.mastersportal.eu/studies/63645/radiologic-science.html,,24,months,,,86600,USD,full,,The UNC Radiologist Assistant Master of Radiologic Science (MRS) degree prepares students to practice competently and effectively as medical imaging professionals in radiology. ,Radiologic Science
47,['Grand Valley State University'],United States,http://www.mastersportal.eu/studies/121761/physician-assistant-studies.html,,28,months,,,824,USD,module,80,"Physician Assistants (PAs) are valued members of the health care team. Working alongside and under the supervision of doctors of medicine and osteopathy, PAs take histories, perform physical examinations, make clinical diagnoses, treat illnesses, provide patient education, counsel patients, assist in surgery, create patient orders, interpret laboratory and diagnostic studies, and prescribe medication.",Physician Assistant Studies
48,['Minnesota State University Mankato'],United States,http://www.mastersportal.eu/studies/186474/physics-community-college-track.html,msc,,,,,396,USD,credit,72,"The Physics programme is offered at Minnesota State University, Mankato.","Physics, Community College Track"
49,['Florida State University'],United States,http://www.mastersportal.eu/studies/115238/physical-oceanography.html,msc,24,months,,,1111,USD,module,80,"Physical Oceanography is one of the three main divisions within the FSU Department of Oceanography, and is focused on the interaction between oceans and atmosphere and how that interaction influences and shapes our world.",Physical Oceanography
50,['Swansea University'],United Kingdom,http://www.mastersportal.eu/studies/53661/by-research-antimatter-physics.html,msc,12,months,,,,,,,"Visit
  our website for more information on fees, scholarships, postgraduate loans
  and other funding options to study at Swansea University - 'Welsh University
  of the Year 2017' (Times and Sunday Times Good University Guide 2017).",By Research Antimatter Physics
51,"['University of Glasgow', 'College of Science and Engineering']",United Kingdom,http://www.mastersportal.eu/studies/27113/physics-energy-and-the-environment.html,msc,12,months,,,20150,GBP,year,90,"The Masters in Physics - Energy and the Environment at the University of Glasgow provides an understanding of the principles and methods of modern physics, with emphasis on their application to global challenges in sustainable energy, climate change and the environment, and at a level appropriate for a professional physicist.",Physics - Energy and the Environment
52,"['School of Physics and Astronomy', 'The University of Manchester']",United Kingdom,http://www.mastersportal.eu/studies/19485/astronomy-and-astrophysics-msc-by-research.html,msc,12,months,,,22000,GBP,year,90,"The School of Physics and Astronomy at Manchester is one of the largest and most active schools of physics in the UK.  We have a long tradition of excellence in both teaching and research, and have interests in most areas of contemporary research.",Astronomy and Astrophysics MSc by research
53,"['Faculty of Science', 'University of Amsterdam']",Netherlands,http://www.mastersportal.eu/studies/15175/physics-and-astronomy-theoretical-physics.html,msc,24,months,120,,13300,EUR,year,90,Theoretical Physics in the Master's programme Physics and Astronomy offers education and training from researchers of one of Europe's leading institutes in this challenging and exciting field.,Physics and Astronomy: Theoretical Physics
54,['Ohio State University'],United States,http://www.mastersportal.eu/studies/73365/nuclear-engineering.html,msc,24,months,,,36137,USD,year,79,"The nuclear engineering graduate program at Ohio State is designed to prepare students for successful careers in a variety of specialty areas associated with the application of radiation, radioactive materials and nuclear fission.",Nuclear Engineering
55,['Naresuan University'],Thailand,http://www.mastersportal.eu/studies/123596/theoretical-physics.html,msc,,,,,,,,,"The Institute for Fundamental Study “The Tah Poe Academia Institute” (IF, formerly the TPTP) is a research institute established as the 21st faculty of Naresuan University, Thailand. IF academic mission is to provide research and academic programs in Theoretical Physics and other related disciplines.",Theoretical Physics
56,['An-Najah National University'],"Palestinian Territory, Occupied",http://www.mastersportal.eu/studies/188385/physics.html,ma,,,,,120,USD,year,,"Based on the An-Najah’s vision, the Physics programme aims to produce innovative, competent, and confident graduates qualified to teach in schools, academies and universities.",Physics
57,['Eastern Virginia Medical School'],United States,http://www.mastersportal.eu/studies/182957/physician-assistant.html,,28,months,,,13143,USD,year,,The Master of Physician Assistant (MPA) Program is an accredited 28-month program that provides graduates the skills and resources to deliver health care as physician assistant leaders in an evolving health-care industry.,Physician Assistant
58,"['University of Burgundy', 'University of Burgundy']",France,http://www.mastersportal.eu/studies/141507/physics-photonics-nanotechnology.html,,5,months,24,,,,,,"Physics, Photonics, & Nanotechnology (PPN) is a Master of Science in physics, which is fully taught in English for international students as well as for French students who would like to study in an international environment.","Physics, Photonics, Nanotechnology"
59,"['Chalmers University of Technology - Masters Programmes', 'Chalmers University of Technology']",Sweden,http://www.mastersportal.eu/studies/104/complex-adaptive-systems.html,msc,24,months,120,,14551,EUR,year,90,"The brain, the immune system and the formation of clouds, are all examples of complex adaptive systems comprising of many interacting components, often non linear and dynamic, leading to multiple levels of collective structures and organization. The Complex Adaptive Systems programme is delivered by Chalmers University of Technology.",Complex Adaptive Systems
60,"['Vrije Universiteit Brussel (VUB)', 'Faculty of Science and Bio-engineering Sciences']",Belgium,http://www.mastersportal.eu/studies/69815/physics-and-astronomy.html,msc,24,months,120,,1450,EUR,year,72,"Physics and Astronomy students at the Vrije Universiteit Brussel (VUB) attend lectures, exercises, lab sessions and excursions in small groups. There is room for interaction and discussion, and a low threshold for students to actively participate. This programme pays special attention to critical analysis.",Physics and Astronomy
61,"['University of Southampton', 'Physics']",United Kingdom,http://www.mastersportal.eu/studies/135898/particle-physics-with-a-research-year-abroad.html,,48,months,,,19725,GBP,year,92,This four-year Particle Physics with a Research Year Abroad (Integrated Masters) degree gives a more advanced understanding of particle physics and is intended for our top MPhys students who plan to study for a PhD. Students will also have the opportunity to work at CERN in Geneva in their final year.,Particle Physics with a Research Year Abroad (Integrated Masters)
62,"['Uppsala University', 'Faculty of Science and Technology']",Sweden,http://www.mastersportal.eu/studies/210342/physics-geophysics.html,msc,24,months,,,30227,EUR,full,90,"Thw M.Sc. in Physics - Geophysics at Uppsala University provides an understanding of how planet Earth works on the inside. Earth is a lively planet, where processes active today shape the Earth as we know it. ",Physics - Geophysics
63,"['Uppsala University', 'Faculty of Science and Technology']",Sweden,http://www.mastersportal.eu/studies/210345/physics-meteorology.html,msc,24,months,,,30227,EUR,full,90,"Physics - Meteorology at Uppsala University is the specialisation for those of you who want to get deep understanding of the weather and climate systems. The degree from Uppsala University gives you opportunities to work internationally. You will be well prepared to apply for positions at national weather services, private companies, municipalities, and for a research position (PhD student).",Physics - Meteorology
64,"['University of Southampton', 'Optoelectronics Research Centre']",United Kingdom,http://www.mastersportal.eu/studies/35616/photonic-technologies.html,msc,12,months,,,20550,GBP,full,92,"The world class Masters degree in Photonic Technologies at University of Southampton offers access to state-of-the-art facilities in our optical laboratories and clean room complex. This one year course offers core and optional modules including lasers, microfabrication, silicon photonics, metamaterials, nanophonics and plasmonics.",Photonic Technologies
65,"['INTO Oregon State University', 'Oregon State University']",United States,http://www.mastersportal.eu/studies/151644/graduate-pathway-in-physical-chemistry.html,premaster,9,months,,,29910,USD,full,70,The Graduate Pathway in Physical Chemistry gives international students a chance to improve their English before continuing on to the master's degree program at Oregon State University.,Graduate Pathway in Physical Chemistry
66,['University of Helsinki'],Finland,http://www.mastersportal.eu/studies/154207/particle-physics-and-astrophysical-sciences.html,msc,24,months,120,,15000,EUR,year,92,"What are the laws of nature governing the universe from elementary particles to the formation and evolution of the solar system, stars, and galaxies? In the Master’s Programme in Particle Physics and Astrophysical Sciences from  University of Helsinki, you will focus on gaining a quantitative understanding of these phenomena.",Particle Physics and Astrophysical Sciences
67,"['Eindhoven University of Technology (TU/e)', 'Applied Physics']",Netherlands,http://www.mastersportal.eu/studies/27/applied-physics.html,msc,24,months,120,,15000,EUR,year,90,"The Master’s degree program in Applied Physics from Eindhoven University of Technology (TU/e) gives you the opportunity to get involved in physical phenomena, new technologies and measurement methods. These are based on technical applications of physical principles in the most diverse disciplines. ",Applied Physics
68,"['University of Jyväskylä', 'University of Jyväskylä, Faculty of Mathematics and Science']",Finland,http://www.mastersportal.eu/studies/36086/nuclear-and-particle-physics.html,msc,24,months,120,,12000,EUR,year,92,The objective of the Nuclear and Particle Physics Master's degree from University of Jyväskylä is to provide you with advanced academic training in the fields of nuclear and particle physics.,Nuclear and Particle Physics
69,['University Jean Monnet'],France,http://www.mastersportal.eu/studies/69628/dyclam-dynamics-of-cultural-landscapes-and-heritage-management.html,,24,months,,,4000,EUR,year,90,"DYCLAM is a unique European curriculum. It is unique for its global approach and the applied methodologies to international problems of development and sustainable management of heritages and cultural landscapes.

This programme aims to train operational professionals working in many places such as museums, associations, foundations in heritage management, Cities and Countries of Art and History, local councils (cities, boroughs, and regions), UNESCO, ICOMOS, IUCN, consulting firms.",DYCLAM / Dynamics of Cultural Landscapes and Heritage Management (Master Erasmus + JMD)
70,"['Information Technology', 'University of Southern Queensland']",Australia,http://www.mastersportal.eu/studies/189819/master-of-science-astrophysics.html,,24,months,,,,,,90,"This specialisation is designed to provide an opportunity to gain knowledge and skills in astrophysics and develop scientific research skills. The program thus provides professional development in science for those in educational or science communication careers, and a specialist foundation of knowledge and skills for subsequent higher degree research.",Master of Science - Astrophysics
71,['University of Louisville'],United States,http://www.mastersportal.eu/studies/125981/physiology-and-biophysics.html,msc,12,months,,,32938,USD,year,79,The Department of Physiology and Biophysics is located in the Health Sciences Center of the University of Louisville which provides our graduate students with an active and intellectually stimulating environment.,Physiology and Biophysics
72,['Kazan Federal University'],Russia,http://www.mastersportal.eu/studies/193930/physics.html,,24,months,120,,3765,EUR,year,79,"The master's program is based on the unique program including in-depth
training of theoretical physicists in gravitational physics, cosmology and
relativistic astrophysics (the study of the structure and evolution of the
universe, inflation, black holes, and so on).",Physics (High Energy Physics and Cosmology)
73,"['Faculty of Social Science & Public Policy', ""King's College London""]",United Kingdom,http://www.mastersportal.eu/studies/74669/postgraduate-certificate-in-education.html,,9,months,60,,17280,GBP,year,,"The department works in close partnership with schools in designing, delivering and assessing our programme. You will have the opportunity to work with tutors who are actively engaged in research and are encouraged to take a critical view of policies and practice.",Postgraduate Certificate in Education (Physics with Mathematics)
74,['Osaka University'],Japan,http://www.mastersportal.eu/studies/68982/physics.html,msc,,,,,4630,USD,year,88,"The Department of Physics at Osaka University offers a world-class education to its undergraduate and graduate students. We have about 50 faculty members who teach physics over 1000 undergraduate students per year in the School of Science and the other schools of the University. Our award-winning faculty members perform cutting edge research studies. As one of the leading universities in the nation, our mission is to serve the people in Japan as well as those from the world through our intensive education, our excellence in research, and our outreach.",Physics
75,['The University of Sofia'],Bulgaria,http://www.mastersportal.eu/studies/113001/nuclear-and-particle-physics.html,,24,months,,,3300,EUR,year,,"h MSc programme Nuclear and Particle Physics aims to prepare highly qualified specialists in the field of nuclear physics, particle physics, radiation physics. After successful graduation the students will have knowledge and skills to perform fundamental and applied scientific research, development of experimental equipment, as well as routine measurements in the laboratories.",Nuclear and Particle Physics
76,['University of Hamburg'],Germany,http://www.mastersportal.eu/studies/108220/mathematical-physics.html,msc,24,months,,,,,,90,"Mathematics and physics are closely related. On the one hand, mathematics provides the methods for investigating certain problems in physics. On the other hand, increasingly complex physical theories, such as quantum mechanics or string theory, significantly affect the development of new mathematical theories.",Mathematical Physics
77,['University of Tasmania'],Australia,http://www.mastersportal.eu/studies/168079/science.html,mres,24,months,,,32000,AUD,year,72,"A Masters by Research enables a candidate to develop knowledge of the principal doctrines of research in their discipline area and a substantive understanding of key conventions, norms and perspectives in the disciplinary or multi-disciplinary environment. ",Science (Physics and Astronomy)
78,"['University of Nevada, Las Vegas']",United States,http://www.mastersportal.eu/studies/93102/physics.html,msc,,,,,23274,USD,year,80,The purpose of the Physics M.S. and Ph.D. degrees are to prepare students for a career in Physics Research or in education at the university level.,Physics
79,['Colorado School of Mines'],United States,http://www.mastersportal.eu/studies/61772/geophysics-and-geophysical-engineering.html,msc,12,months,,,17010,USD,semester,79,The Department of Geophysics' welcomes graduate students and faculty from throughout the United States and around the world. Together we are all creating a fertile global climate for stimulating cultural interaction.,Geophysics and Geophysical Engineering
80,['Southern Federal University'],Russia,http://www.mastersportal.eu/studies/165118/physical-methods-of-investigation-in-chemistry.html,msc,,,19,,1424,USD,year,,"This programme aims to combine physics and chemistry into one degree that is sure to make your CV very attractive, after graduation.",Physical Methods of Investigation in Chemistry
81,['University of North Carolina Chapel Hill'],United States,http://www.mastersportal.eu/studies/117063/applied-physical-sciences.html,msc,24,months,,,,,,90,"The Department of Applied Physical Sciences at the University of North Carolina – Chapel Hill launched July 1, 2013 as a new academic department.",Applied Physical Sciences
