,CollegeName,Country,International Faculty,Number of Internal Students,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Ranking,Total Academic Faculty,Total Number of Students,URL
182,University of Victoria,Canada,246,"3,103",30%,70%,16%,84%,#=346 QS World University Rankings 2018,818,"19,087",https://www.topuniversities.com/node/297210
183,Ewha Womans University,South Korea,148,"2,768",16%,84%,23%,77%,#=299 QS World University Rankings 2018,"2,509","17,190",https://www.topuniversities.com/node/294477
184,Hokkaido University,Japan,210,"1,347",87%,13%,34%,66%,#=122 QS World University Rankings 2018,"2,605","17,552",https://www.topuniversities.com/node/294258
185,University of Birmingham,United Kingdom,"1,028","7,795",57%,43%,30%,70%,#=84 QS World University Rankings 2018,"2,962","28,660",https://www.topuniversities.com/node/294597
186,Stockholm University,Sweden,646,"2,636",50%,50%,24%,76%,#=195 QS World University Rankings 2018,"2,154","28,281",https://www.topuniversities.com/node/297278
187,University of Geneva,Switzerland,"1,029","6,104",61%,39%,48%,52%,#=98 QS World University Rankings 2018,"1,752","15,844",https://www.topuniversities.com/node/294362
188,University of Utah,United States,296,"2,213",47%,53%,26%,74%,#=391 QS World University Rankings 2018,"3,467","25,380",https://www.topuniversities.com/node/297216
189,The American University in Cairo,Egypt,178,222,24%,76%,10%,90%,#=395 QS World University Rankings 2018,534,"5,843",https://www.topuniversities.com/node/294620
190,Pennsylvania State University,United States,211,"7,081",35%,65%,12%,88%,#=93 QS World University Rankings 2018,"3,509","45,612",https://www.topuniversities.com/node/297570
191,Dublin City University,Ireland,306,"2,263",32%,68%,15%,85%,#=391 QS World University Rankings 2018,"1,080","12,008",https://www.topuniversities.com/node/294494
192,Brunel University London,United Kingdom,349,"4,735",37%,63%,21%,79%,#=346 QS World University Rankings 2018,845,"11,795",https://www.topuniversities.com/node/294583
193,Westfälische Wilhelms-Universität Münster,Germany,487,"2,809",61%,39%,53%,47%,#=308 QS World University Rankings 2018,"4,202","42,715",https://www.topuniversities.com/node/294839
194,The University of Arizona,United States,266,"3,561",42%,58%,20%,80%,#=230 QS World University Rankings 2018,"2,906","38,379",https://www.topuniversities.com/node/294630
195,University of Tsukuba,Japan,174,"2,149",79%,21%,40%,60%,#=250 QS World University Rankings 2018,"2,128","16,637",https://www.topuniversities.com/node/297234
196,University of Jyväskylä,Finland,249,603,95%,5%,44%,56%,#=357 QS World University Rankings 2018,"1,464","10,339",https://www.topuniversities.com/node/294178
197,Carnegie Mellon University,United States,425,"6,385",71%,29%,51%,49%,#=47 QS World University Rankings 2018,"1,342","13,356",https://www.topuniversities.com/node/294555
198,Nagoya University,Japan,206,"1,547",80%,20%,38%,62%,#=116 QS World University Rankings 2018,"2,665","15,838",https://www.topuniversities.com/node/294832
199,University of Zurich,Switzerland,"2,617","5,036",71%,29%,48%,52%,#=73 QS World University Rankings 2018,"4,997","26,065",https://www.topuniversities.com/node/297126
200,"University of California, Irvine",United States,377,"8,538",21%,79%,16%,84%,#=164 QS World University Rankings 2018,"1,926","32,151",https://www.topuniversities.com/node/294570
201,University of Kansas,United States,284,"2,070",55%,45%,27%,73%,#=386 QS World University Rankings 2018,"3,324","24,133",https://www.topuniversities.com/node/294169
202,University of Lisbon,Portugal,115,"6,548",71%,29%,40%,60%,#=305 QS World University Rankings 2018,"3,027","50,667",https://www.topuniversities.com/node/296493
203,"University of Illinois, Chicago (UIC)",United States,342,"5,148",57%,43%,35%,65%,#=207 QS World University Rankings 2018,"2,284","26,046",https://www.topuniversities.com/node/294246
204,The University of Melbourne,Australia,"1,477","18,030",54%,46%,47%,53%,#=41 QS World University Rankings 2018,"3,311","42,182",https://www.topuniversities.com/node/294861
205,The University of Sheffield,United Kingdom,938,"8,745",51%,49%,28%,72%,#=82 QS World University Rankings 2018,"3,065","25,430",https://www.topuniversities.com/node/297471
206,"University of Economics, Prague",Czech Republic,19,"3,152",40%,60%,45%,55%,#N/A QS World University Rankings® 2014/15,462,"13,763",https://www.topuniversities.com/node/297572
207,Copenhagen Business School,Denmark,195,"4,036",74%,26%,52%,48%,#N/A QS World University Rankings® 2014/15,599,"17,233",https://www.topuniversities.com/node/297338
208,National Taiwan University (NTU),Taiwan,220,"3,152",45%,55%,46%,54%,#=76 QS World University Rankings 2018,"2,807","32,195",https://www.topuniversities.com/node/294804
209,"Stony Brook University, State University of New York",United States,126,"6,436",36%,64%,27%,73%,#=382 QS World University Rankings 2018,"2,147","24,026",https://www.topuniversities.com/node/297276
210,National Chiao Tung University,Taiwan,162,"1,854",56%,44%,50%,50%,#=207 QS World University Rankings 2018,"1,086","10,376",https://www.topuniversities.com/node/294810
211,KU Leuven,Belgium,784,"6,926",78%,22%,52%,48%,#=71 QS World University Rankings 2018,"2,515","45,538",https://www.topuniversities.com/node/294551
212,University of the Philippines,Philippines,35,226,55%,45%,18%,82%,#=367 QS World University Rankings 2018,"4,343","45,537",https://www.topuniversities.com/node/297566
213,Simon Fraser University,Canada,364,"7,573",18%,82%,13%,87%,#=245 QS World University Rankings 2018,974,"25,108",https://www.topuniversities.com/node/297293
214,Eberhard Karls Universität Tübingen,Germany,796,"3,860",57%,43%,56%,44%,#=164 QS World University Rankings 2018,"3,844","27,366",https://www.topuniversities.com/node/297232
215,University of Ottawa,Canada,497,"6,181",34%,66%,23%,77%,#=289 QS World University Rankings 2018,"1,586","35,003",https://www.topuniversities.com/node/297610
216,Lancaster University,United Kingdom,435,"4,464",36%,64%,24%,76%,#=135 QS World University Rankings 2018,"1,245","12,300",https://www.topuniversities.com/node/294090
217,,,,,,,,,#=367 QS World University Rankings 2018,,,https://www.topuniversities.com/node/297236
218,Tohoku University,Japan,264,"1,604",84%,16%,38%,62%,#=76 QS World University Rankings 2018,"3,411","17,827",https://www.topuniversities.com/node/297250
219,Dalhousie University,Canada,627,"3,439",32%,68%,23%,77%,#=279 QS World University Rankings 2018,"1,007","15,177",https://www.topuniversities.com/node/294506
220,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,"1,886","7,563",72%,28%,53%,47%,#10 QS World University Rankings 2018,"2,477","19,815",https://www.topuniversities.com/node/294432
221,Johns Hopkins University,United States,"1,061","4,105",79%,21%,63%,37%,#17 QS World University Rankings 2018,"4,462","16,146",https://www.topuniversities.com/node/294184
222,Tsinghua University,China,932,"4,072",49%,51%,59%,41%,#25 QS World University Rankings 2018,"5,506","36,300",https://www.topuniversities.com/node/297235
223,"University of California, Los Angeles (UCLA)",United States,662,"6,887",44%,56%,29%,71%,#33 QS World University Rankings 2018,"2,859","40,114",https://www.topuniversities.com/node/294569
224,Brown University,United States,379,"1,825",49%,51%,29%,71%,#53 QS World University Rankings 2018,"1,303","9,251",https://www.topuniversities.com/node/294584
225,Delft University of Technology,Netherlands,701,"4,634",88%,12%,52%,48%,#54 QS World University Rankings 2018,"1,669","16,527",https://www.topuniversities.com/node/294502
226,Shanghai Jiao Tong University,China,887,"2,858",33%,67%,54%,46%,#62 QS World University Rankings 2018,"3,544","38,931",https://www.topuniversities.com/node/297378
227,,,,,,,,,#63 QS World University Rankings 2018,,,https://www.topuniversities.com/node/297628
228,,,,,,,,,#64 QS World University Rankings 2018,,,https://www.topuniversities.com/node/297262
229,University of Texas at Austin,United States,108,"4,744",62%,38%,22%,78%,#67 QS World University Rankings 2018,"2,833","47,995",https://www.topuniversities.com/node/297257
230,Georgia Institute of Technology,United States,75,"4,761",68%,32%,34%,66%,#70 QS World University Rankings 2018,"1,133","21,082",https://www.topuniversities.com/node/294349
231,"University of North Carolina, Chapel Hill",United States,524,"1,934",52%,48%,30%,70%,#80 QS World University Rankings 2018,"4,083","25,373",https://www.topuniversities.com/node/294836
232,Zhejiang University,China,"1,913","4,625",40%,60%,51%,49%,#87 QS World University Rankings 2018,"4,507","40,869",https://www.topuniversities.com/node/297123
233,"Trinity College Dublin, The University of Dublin",Ireland,544,"4,311",33%,67%,23%,77%,#88 QS World University Rankings 2018,"1,249","14,961",https://www.topuniversities.com/node/294491
234,Rice University,United States,316,"1,847",66%,34%,42%,58%,#89 QS World University Rankings 2018,969,"6,610",https://www.topuniversities.com/node/297437
235,Washington University in St. Louis,United States,784,"2,706",80%,20%,48%,52%,#100 QS World University Rankings 2018,"2,699","13,474",https://www.topuniversities.com/node/297193
236,University of Leeds,United Kingdom,870,"7,534",57%,43%,25%,75%,#101 QS World University Rankings 2018,"3,025","29,645",https://www.topuniversities.com/node/294081
237,Eindhoven University of Technology,Netherlands,322,"1,275",82%,18%,50%,50%,#104 QS World University Rankings 2018,801,"7,636",https://www.topuniversities.com/node/294476
238,Yonsei University,South Korea,290,"3,379",15%,85%,24%,76%,#106 QS World University Rankings 2018,"3,621","25,903",https://www.topuniversities.com/node/297129
239,Uppsala University,Sweden,584,"5,198",72%,28%,30%,70%,#112 QS World University Rankings 2018,"2,567","25,371",https://www.topuniversities.com/node/297218
240,"University of California, Davis",United States,549,"4,529",31%,69%,19%,81%,#118 QS World University Rankings 2018,"3,843","34,244",https://www.topuniversities.com/node/294571
241,Aarhus University,Denmark,602,"3,762",73%,27%,48%,52%,#119 QS World University Rankings 2018,"2,316","26,226",https://www.topuniversities.com/node/294648
242,Humboldt-Universität zu Berlin,Germany,407,"4,805",59%,41%,37%,63%,#120 QS World University Rankings 2018,"1,966","33,198",https://www.topuniversities.com/node/294252
243,Universidade de São Paulo,Brazil,279,"2,086",83%,17%,46%,54%,#121 QS World University Rankings 2018,"5,582","65,711",https://www.topuniversities.com/node/297422
244,Queen Mary University of London,United Kingdom,801,"6,806",41%,59%,25%,75%,#127 QS World University Rankings 2018,"1,885","16,135",https://www.topuniversities.com/node/294022
245,"University of Maryland, College Park",United States,473,"4,683",73%,27%,25%,75%,#129 QS World University Rankings 2018,"3,920","35,504",https://www.topuniversities.com/node/294867
246,University of Southern California,United States,551,"9,170",73%,27%,53%,47%,#132 QS World University Rankings 2018,"3,124","38,749",https://www.topuniversities.com/node/297286
247,"University of California, Santa Barbara (UCSB)",United States,267,"2,128",32%,68%,12%,88%,#134 QS World University Rankings 2018,"1,449","23,149",https://www.topuniversities.com/node/294565
248,The Hebrew University of Jerusalem,Israel,454,"1,034",60%,40%,43%,57%,#145 QS World University Rankings 2018,"2,249","16,531",https://www.topuniversities.com/node/294267
249,University of Lausanne,Switzerland,"1,031","3,337",59%,41%,47%,53%,#146 QS World University Rankings 2018,"2,173","13,435",https://www.topuniversities.com/node/294085
250,Université catholique de Louvain (UCL),Belgium,406,"4,468",53%,47%,51%,49%,#153 QS World University Rankings 2018,"1,219","24,277",https://www.topuniversities.com/node/294550
251,University of Vienna,Austria,"1,400","14,468",44%,56%,40%,60%,#154 QS World University Rankings 2018,"3,411","45,967",https://www.topuniversities.com/node/297209
252,École Normale Supérieure de Lyon,France,91,221,94%,6%,86%,14%,#157 QS World University Rankings 2018,382,"2,020",https://www.topuniversities.com/node/294483
253,University of Minnesota,United States,195,"6,542",39%,61%,24%,76%,#163 QS World University Rankings 2018,"4,919","59,742",https://www.topuniversities.com/node/294852
254,University of Bern,Switzerland,661,"1,618",81%,19%,51%,49%,#167 QS World University Rankings 2018,"1,172","10,758",https://www.topuniversities.com/node/294601
255,Albert-Ludwigs-Universitaet Freiburg,Germany,413,"3,897",51%,49%,43%,57%,#171 QS World University Rankings 2018,"1,966","23,214",https://www.topuniversities.com/node/294376
256,University of Florida,United States,504,"4,597",88%,12%,31%,69%,#178 QS World University Rankings 2018,"5,419","45,485",https://www.topuniversities.com/node/294394
257,University of Cape Town,South Africa,379,"3,325",30%,70%,18%,82%,#191 QS World University Rankings 2018,"1,733","19,593",https://www.topuniversities.com/node/294558
258,Maastricht University,Netherlands,502,"8,234",33%,67%,37%,63%,#200 QS World University Rankings 2018,"1,277","16,385",https://www.topuniversities.com/node/293985
259,Universidad de Chile,Chile,127,"2,134",50%,50%,21%,79%,#201 QS World University Rankings 2018,"2,256","38,848",https://www.topuniversities.com/node/294535
260,Queen's University Belfast,United Kingdom,767,"5,715",22%,78%,19%,81%,#202 QS World University Rankings 2018,"1,720","17,831",https://www.topuniversities.com/node/297461
261,Arizona State University,United States,588,"9,722",35%,65%,16%,84%,#209 QS World University Rankings 2018,"2,578","47,503",https://www.topuniversities.com/node/294631
262,Vanderbilt University,United States,470,"1,671",55%,45%,43%,57%,#212 QS World University Rankings 2018,"4,220","12,037",https://www.topuniversities.com/node/297212
263,Sapienza University of Rome,Italy,123,"7,650",47%,53%,50%,50%,#215 QS World University Rankings 2018,"3,381","108,229",https://www.topuniversities.com/node/297489
264,University of Notre Dame,United States,351,"1,176",66%,34%,30%,70%,#216 QS World University Rankings 2018,"1,170","12,054",https://www.topuniversities.com/node/294761
265,Sciences Po,France,341,"3,890",55%,45%,56%,44%,#220 QS World University Rankings 2018,"1,496","10,369",https://www.topuniversities.com/node/297573
266,National Cheng Kung University (NCKU),Taiwan,170,"2,432",38%,62%,42%,58%,#222 QS World University Rankings 2018,"2,000","21,088",https://www.topuniversities.com/node/294814
267,Georgetown University,United States,193,"2,770",70%,30%,55%,45%,#227 QS World University Rankings 2018,"1,859","15,690",https://www.topuniversities.com/node/294355
268,University Complutense Madrid,Spain,67,"9,697",29%,71%,17%,83%,#233 QS World University Rankings 2018,"4,647","72,654",https://www.topuniversities.com/node/294880
269,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,300,"4,522",53%,47%,29%,71%,#239 QS World University Rankings 2018,"3,670","35,619",https://www.topuniversities.com/node/294594
270,Université Paris-Sud,France,640,"4,421",68%,32%,47%,53%,#242 QS World University Rankings 2018,"3,754","26,945",https://www.topuniversities.com/node/297526
271,University of Massachusetts Amherst,United States,148,"1,921",54%,46%,15%,85%,#249 QS World University Rankings 2018,"1,654","25,111",https://www.topuniversities.com/node/294866
272,University of Miami,United States,77,"2,564",41%,59%,33%,67%,#252 QS World University Rankings 2018,"1,837","15,596",https://www.topuniversities.com/node/294859
273,North Carolina State University,United States,573,"4,120",66%,34%,24%,76%,#263 QS World University Rankings 2018,"2,562","27,748",https://www.topuniversities.com/node/294837
274,Université Paris 1 Panthéon-Sorbonne,France,143,"9,184",58%,42%,44%,56%,#269 QS World University Rankings 2018,"1,330","38,000",https://www.topuniversities.com/node/297554
275,University of East Anglia (UEA),United Kingdom,421,"3,604",45%,55%,23%,77%,#274 QS World University Rankings 2018,"1,409","13,899",https://www.topuniversities.com/node/297224
276,University of Turku,Finland,270,580,94%,6%,43%,57%,#276 QS World University Rankings 2018,"1,394","12,416",https://www.topuniversities.com/node/297227
277,Indiana University Bloomington,United States,766,"7,434",39%,61%,21%,79%,#304 QS World University Rankings 2018,"4,907","65,397",https://www.topuniversities.com/node/294235
278,Universidade Federal do Rio de Janeiro,Brazil,152,"1,184",59%,41%,24%,76%,#311 QS World University Rankings 2018,"3,988","55,109",https://www.topuniversities.com/node/297503
279,Kobe University,Japan,102,956,88%,12%,28%,72%,#351 QS World University Rankings 2018,"1,926","16,356",https://www.topuniversities.com/node/294136
280,La Trobe University,Australia,518,"8,071",39%,61%,20%,80%,#360 QS World University Rankings 2018,"1,253","24,600",https://www.topuniversities.com/node/294098
281,Universität Konstanz,Germany,223,"1,500",44%,54%,23%,78%,#385 QS World University Rankings 2018,"1,064","11,420",https://www.topuniversities.com/node/294127
282,Washington State University,United States,479,"1,899",46%,54%,15%,85%,#401-410 QS World University Rankings 2018,"1,977","26,853",https://www.topuniversities.com/node/297195
283,Ruhr-Universität Bochum,Germany,137,"5,821",41%,59%,32%,68%,#401-410 QS World University Rankings 2018,"1,100","42,427",https://www.topuniversities.com/node/297475
284,Vilnius University,Lithuania,84,484,79%,21%,37%,63%,#401-410 QS World University Rankings 2018,"2,003","15,756",https://www.topuniversities.com/node/297067
285,Kazakh National Research Technical University after K.I.Satpayev,Kazakhstan,27,256,8%,92%,14%,86%,#411-420 QS World University Rankings 2018,"2,084","11,325",https://www.topuniversities.com/node/295111
286,University of Warsaw,Poland,168,"2,712",53%,47%,48%,52%,#411-420 QS World University Rankings 2018,"3,522","42,844",https://www.topuniversities.com/node/297198
287,Aix-Marseille University,France,477,"9,206",50%,50%,37%,63%,#411-420 QS World University Rankings 2018,"3,930","66,007",https://www.topuniversities.com/node/294791
288,Universidad de Costa Rica,Costa Rica,,283,%,%,9%,97%,#411-420 QS World University Rankings 2018,"3,593","35,702",https://www.topuniversities.com/node/294681
289,Taras Shevchenko National University of Kyiv,Ukraine,17,755,26%,74%,30%,70%,#411-420 QS World University Rankings 2018,"2,951","23,354",https://www.topuniversities.com/node/294139
290,Brandeis University,United States,35,"1,400",48%,52%,32%,68%,#411-420 QS World University Rankings 2018,433,"5,328",https://www.topuniversities.com/node/294590
291,University of Delaware,United States,165,"2,400",56%,44%,15%,85%,#421-430 QS World University Rankings 2018,"1,146","21,258",https://www.topuniversities.com/node/294503
292,Swinburne University of Technology,Australia,360,"3,264",52%,48%,19%,81%,#421-430 QS World University Rankings 2018,821,"12,419",https://www.topuniversities.com/node/297071
293,University of Iowa,United States,114,"3,682",35%,65%,27%,73%,#421-430 QS World University Rankings 2018,"2,549","30,270",https://www.topuniversities.com/node/294215
294,Hitotsubashi University,Japan,60,745,70%,30%,31%,69%,#421-430 QS World University Rankings® 2014/15,543,"6,341",https://www.topuniversities.com/node/294259
295,University of Connecticut,United States,485,"2,797",65%,35%,26%,74%,#421-430 QS World University Rankings 2018,"2,290","24,607",https://www.topuniversities.com/node/294517
296,Pontificia Universidad Católica del Perú,Peru,51,569,91%,9%,24%,76%,#431-440 QS World University Rankings 2018,"1,522","22,370",https://www.topuniversities.com/node/294548
297,Bangor University,United Kingdom,116,"2,054",46%,54%,17%,83%,#441-450 QS World University Rankings 2018,567,"8,849",https://www.topuniversities.com/node/294614
298,Université Paris Descartes,France,139,"3,611",49%,51%,17%,35%,#441-450 QS World University Rankings 2018,"1,883","40,616",https://www.topuniversities.com/node/297544
299,Sogang University,South Korea,60,672,35%,65%,23%,77%,#441-450 QS World University Rankings 2018,957,"9,596",https://www.topuniversities.com/node/297290
300,Tulane University,United States,136,"1,243",80%,20%,38%,62%,#451-460 QS World University Rankings 2018,"1,561","10,995",https://www.topuniversities.com/node/297230
301,University of Saskatchewan,Canada,352,"3,034",45%,55%,18%,82%,#451-460 QS World University Rankings 2018,"1,408","16,124",https://www.topuniversities.com/node/296893
302,"The University of Tennessee, Knoxville",United States,64,"1,001",62%,38%,19%,81%,#451-460 QS World University Rankings 2018,"1,819","25,907",https://www.topuniversities.com/node/297258
303,University of New Mexico,United States,145,903,69%,31%,20%,80%,#461-470 QS World University Rankings 2018,"2,219","21,521",https://www.topuniversities.com/node/294790
304,University of Florence,Italy,137,"3,897",40%,60%,44%,56%,#461-470 QS World University Rankings 2018,"3,195","53,016",https://www.topuniversities.com/node/294412
305,Jagiellonian University,Poland,91,"2,506",65%,35%,57%,43%,#461-470 QS World University Rankings 2018,"3,901","41,492",https://www.topuniversities.com/node/294196
306,Universidad de Zaragoza,Spain,77,"2,070",21%,79%,12%,88%,#461-470 QS World University Rankings 2018,"3,833","30,168",https://www.topuniversities.com/node/297124
307,"University of Rome ""Tor Vergata""",Italy,89,"3,790",38%,59%,14%,86%,#461-470 QS World University Rankings 2018,"1,694","36,930",https://www.topuniversities.com/node/297487
308,Johannes Kepler University Linz,Austria,166,602,53%,47%,55%,45%,#471-480 QS World University Rankings 2018,680,"5,589",https://www.topuniversities.com/node/294049
309,American University,United States,46,"1,588",50%,50%,39%,61%,#471-480 QS World University Rankings 2018,"1,026","12,313",https://www.topuniversities.com/node/294637
310,Cairo University,Egypt,138,"8,371",20%,80%,5%,95%,#481-490 QS World University Rankings 2018,"11,873","183,830",https://www.topuniversities.com/node/294576
311,Kazakh National Pedagogical University named after Abay,Kazakhstan,138,483,42%,58%,18%,82%,#491-500 QS World University Rankings 2018,"1,408","8,508",https://www.topuniversities.com/node/293628
312,Chiba University,Japan,86,634,70%,30%,24%,76%,#501-550 QS World University Rankings 2018,"1,947","13,903",https://www.topuniversities.com/node/294537
313,Clark University,United States,16,822,62%,38%,31%,69%,#501-550 QS World University Rankings 2018,299,"3,239",https://www.topuniversities.com/node/297558
314,University of Cincinnati,United States,96,"2,733",63%,37%,25%,75%,#501-550 QS World University Rankings 2018,"2,415","29,306",https://www.topuniversities.com/node/294528
315,City University of New York,United States,398,"7,421",24%,76%,12%,88%,#501-550 QS World University Rankings 2018,"8,139","128,410",https://www.topuniversities.com/node/294508
316,University of Bordeaux,France,333,"4,607",64%,36%,46%,54%,#501-550 QS World University Rankings 2018,"2,833","47,235",https://www.topuniversities.com/node/296634
317,Syracuse University,United States,71,"3,972",54%,46%,26%,74%,#501-550 QS World University Rankings 2018,"1,346","20,092",https://www.topuniversities.com/node/297591
318,Drexel University,United States,308,"3,846",32%,68%,31%,69%,#501-550 QS World University Rankings 2018,"1,995","21,892",https://www.topuniversities.com/node/294495
319,University of Pretoria,South Africa,258,"4,211",48%,52%,19%,81%,#501-550 QS World University Rankings 2018,"1,625","43,971",https://www.topuniversities.com/node/297493
320,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,62,678,46%,54%,17%,83%,#501-550 QS World University Rankings 2018,753,"15,425",https://www.topuniversities.com/node/297502
321,Aristotle University of Thessaloniki,Greece,11,"4,387",11%,89%,18%,82%,#501-550 QS World University Rankings 2018,"1,848","45,712",https://www.topuniversities.com/node/294652
322,Auezov South Kazakhstan State University (SKSU),Kazakhstan,217,"1,007",11%,89%,6%,94%,#501-550 QS World University Rankings 2018,"2,299","13,938",https://www.topuniversities.com/node/295113
323,Osaka City University,Japan,33,337,72%,28%,21%,79%,#551-600 QS World University Rankings 2018,982,"8,313",https://www.topuniversities.com/node/297633
324,Kumamoto University,Japan,60,393,85%,15%,21%,79%,#551-600 QS World University Rankings 2018,"1,315","10,235",https://www.topuniversities.com/node/294119
325,Masaryk University,Czech Republic,147,"6,577",58%,42%,52%,48%,#551-600 QS World University Rankings 2018,"1,655","28,860",https://www.topuniversities.com/node/297103
326,University of Bayreuth,Germany,127,"1,028",77%,23%,50%,50%,#551-600 QS World University Rankings 2018,830,"12,758",https://www.topuniversities.com/node/294607
327,Southern Federal University,Russia,27,"1,418",17%,83%,32%,68%,#551-600 QS World University Rankings 2018,"2,900","18,360",https://www.topuniversities.com/node/295118
328,University of Turin,Italy,149,"4,267",38%,62%,42%,58%,#551-600 QS World University Rankings 2018,"2,679","62,026",https://www.topuniversities.com/node/297229
329,College of William & Mary,United States,45,689,45%,55%,24%,76%,#551-600 QS World University Rankings 2018,761,"8,193",https://www.topuniversities.com/node/294524
330,University of Tampere,Finland,57,458,93%,7%,47%,53%,#551-600 QS World University Rankings 2018,663,"9,451",https://www.topuniversities.com/node/297269
331,University of Oregon,United States,60,"2,890",14%,86%,14%,86%,#551-600 QS World University Rankings 2018,"1,772","22,102",https://www.topuniversities.com/node/297643
332,Universidad Iberoamericana (UIA),Mexico,,,,,9%,91%,#601-650 QS World University Rankings 2018,914,"12,047",https://www.topuniversities.com/node/294249
333,Universidad Anahuac,Mexico,123,267,25%,75%,17%,83%,#601-650 QS World University Rankings 2018,"1,171","12,063",https://www.topuniversities.com/node/294636
334,University of Bradford,United Kingdom,119,"2,513",30%,70%,15%,85%,#601-650 QS World University Rankings 2018,595,"9,160",https://www.topuniversities.com/node/294591
335,The New School,United States,42,"3,159",34%,66%,31%,69%,#601-650 QS World University Rankings 2018,"1,009","9,047",https://www.topuniversities.com/node/297650
336,Universität Duisburg-Essen,Germany,181,"7,636",44%,56%,34%,66%,#601-650 QS World University Rankings 2018,"1,730","40,979",https://www.topuniversities.com/node/294436
337,Universidade de Santiago de Compostela,Spain,18,"1,154",60%,40%,18%,82%,#601-650 QS World University Rankings 2018,"1,723","24,681",https://www.topuniversities.com/node/297434
338,"University of Missouri, Columbia",United States,214,"1,996",57%,43%,18%,82%,#601-650 QS World University Rankings 2018,"2,473","32,257",https://www.topuniversities.com/node/294851
339,Ulster University,United Kingdom,450,"1,605",45%,55%,14%,86%,#601-650 QS World University Rankings 2018,"1,119","19,040",https://www.topuniversities.com/node/296383
340,Tallinn University of Technology,Estonia,106,"1,369",53%,47%,46%,54%,#601-650 QS World University Rankings 2018,848,"10,500",https://www.topuniversities.com/node/297270
341,Dublin Institute of Technology,Ireland,194,"2,620",25%,75%,12%,88%,#651-700 QS World University Rankings 2018,911,"14,734",https://www.topuniversities.com/node/294493
342,National and Kapodistrian University of Athens,Greece,19,"5,834",5%,95%,39%,61%,#651-700 QS World University Rankings 2018,"1,758","65,252",https://www.topuniversities.com/node/294623
343,Universidad Adolfo Ibàñez,Chile,55,381,30%,70%,17%,83%,#651-700 QS World University Rankings 2018,330,"10,472",https://www.topuniversities.com/node/294642
344,Universidad de Concepción,Chile,119,279,77%,23%,7%,93%,#651-700 QS World University Rankings 2018,"1,544","27,696",https://www.topuniversities.com/node/296834
345,Kuwait University,Kuwait,406,"5,038",5%,95%,3%,97%,#651-700 QS World University Rankings 2018,"1,747","37,095",https://www.topuniversities.com/node/293341
346,Gifu University,Japan,25,284,79%,21%,22%,78%,#651-700 QS World University Rankings 2018,904,"7,323",https://www.topuniversities.com/node/294325
347,Instituto Tecnológico Autónomo de México (ITAM),Mexico,68,231,35%,65%,12%,88%,#651-700 QS World University Rankings 2018,329,"5,688",https://www.topuniversities.com/node/297635
348,Louisiana State University,United States,84,"1,645",66%,34%,16%,84%,#651-700 QS World University Rankings 2018,"1,447","28,730",https://www.topuniversities.com/node/294004
349,Carleton University,Canada,134,"4,389",21%,79%,14%,86%,#651-700 QS World University Rankings 2018,"1,124","25,479",https://www.topuniversities.com/node/294556
350,Universidad Torcuato Di Tella,Argentina,9,116,15%,85%,26%,74%,#651-700 QS World University Rankings 2018,155,"1,957",https://www.topuniversities.com/node/297243
351,University of Ljubljana,Slovenia,73,"2,113",50%,45%,39%,61%,#651-700 QS World University Rankings 2018,"3,629","40,432",https://www.topuniversities.com/node/294040
352,Khazar University,Azerbaijan,49,316,34%,66%,13%,87%,#701-750 QS World University Rankings 2018,216,"2,333",https://www.topuniversities.com/node/293590
353,University of Denver,United States,26,821,43%,57%,42%,58%,#701-750 QS World University Rankings 2018,907,"9,536",https://www.topuniversities.com/node/294500
354,De La Salle University,Philippines,8,452,22%,78%,22%,78%,#701-750 QS World University Rankings 2018,926,"15,653",https://www.topuniversities.com/node/294504
355,International Islamic University Malaysia (IIUM),Malaysia,290,"5,115",51%,49%,20%,80%,#701-750 QS World University Rankings 2018,"1,673","24,525",https://www.topuniversities.com/node/297111
356,University of Bucharest,Romania,9,801,20%,80%,32%,68%,#701-750 QS World University Rankings 2018,"1,745","29,272",https://www.topuniversities.com/node/294579
357,University of Trieste,Italy,59,"1,358",46%,54%,43%,57%,#701-750 QS World University Rankings 2018,"1,340","15,728",https://www.topuniversities.com/node/297237
358,Universidad Nacional de Córdoba - UNC,Argentina,20,"1,946",12%,88%,3%,97%,#701-750 QS World University Rankings 2018,"4,981","105,668",https://www.topuniversities.com/node/296826
359,Airlangga University,Indonesia,21,337,10%,90%,24%,76%,#701-750 QS World University Rankings 2018,"2,194","32,246",https://www.topuniversities.com/node/294643
360,London Metropolitan University,United Kingdom,129,"3,882",15%,85%,16%,84%,#701-750 QS World University Rankings 2018,545,"9,507",https://www.topuniversities.com/node/294025
361,Ca' Foscari University of Venice,Italy,75,"1,123",37%,63%,32%,68%,#701-750 QS World University Rankings 2018,546,"21,387",https://www.topuniversities.com/node/297066
362,Plymouth University,United Kingdom,249,"2,447",27%,73%,9%,91%,#701-750 QS World University Rankings 2018,"1,300","18,235",https://www.topuniversities.com/node/297557
363,University of Dhaka,Bangladesh,20,116,50%,50%,20%,80%,#701-750 QS World University Rankings 2018,"1,992","32,320",https://www.topuniversities.com/node/294499
