,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name,
11,"['Erasmus University Rotterdam', 'Faculty of Social Sciences']",Netherlands,http://www.mastersportal.eu/studies/15234/international-public-management-and-policy.html,msc,12,months,60,,14500,EUR,year,90,The Master programme in International Public Management and  Policy at Erasmus University Rotterdam focuses on the increasingly international nature of public management and public policy-making.,International Public Management and Policy,
12,['National Research University - Higher School of Economics (HSE)'],Russia,http://www.mastersportal.eu/studies/65761/population-and-development.html,,24,months,,,4605,EUR,year,,"The primary goal of ""Population and Development"" programme at National Research University - Higher School of Economics (HSE) is to develop students’ skills in applying multi-disciplinary analytic approaches to population development and resource allocation issues, essential for public administration in numerous sectors.",Population and Development,
13,"['Leiden University', 'Leiden University College - Campus the Hague']",Netherlands,http://www.mastersportal.eu/studies/39455/public-administration.html,msc,12,months,60,,16600,EUR,year,100,The M.Sc. in Public Administration at Leiden University teaches you about how public policies are set on a national and European level and understand the relation between politics and citizens. The Master’s programme analyses how public administration manages some of the greatest social and political challenges that have a global effect such as immigration or unemployment.,Public Administration,
14,"['Central European University (CEU)', 'School of Public Policy']",Hungary,http://www.mastersportal.eu/studies/38651/public-administration.html,,24,months,144,,14500,EUR,year,92,"The Mater in Public Administration (MPA) at Central European University (CEU) combines theoretical notions on policy analysis, law and economics with practical research and the students’ soft skills, to prepare them for the realities of public administration. The Master covers subjects like corruption, gender budgeting, drug policy and governance, digital media activism, and more.",Public Administration (MPA) (2 Years),
15,"['Erasmus University Rotterdam', 'Faculty of Social Sciences']",Netherlands,http://www.mastersportal.eu/studies/154087/management-of-governance-networks.html,msc,12,months,60,,14500,EUR,year,90,"Are you interested in complex societal problems and ambitious enough to contribute to solving them? The specialisation Management of Governance Networks at Erasmus University Rotterdam is a challenging programme that enables its graduates to analyse, solve and manage complex societal problems within the public sector. ",Management of Governance Networks,
16,"['Radboud University', 'Nijmegen School of Management']",Netherlands,http://www.mastersportal.eu/studies/34619/comparative-politics-administration-and-society.html,msc,12,months,60,,9432,EUR,year,90,"The Master’s specialisation in Comparative Politics, Administration, and Society (COMPASS) provides the skills needed for a career in government or other policymaking organisations. Courses focus on the barriers to and facilitators of reform, Europeanisation and compliance with EU directives, welfare state reform, and the problems governments face in the 21st century. The degree awarded for completing COMPASS is either a Master's degree in Public Administration or in Political Science.","Comparative Politics, Administration, and Society (COMPASS)",
17,"['Faculty of Economics and Administration', 'Masaryk University']",Czech Republic,http://www.mastersportal.eu/studies/165139/public-economics-and-administration.html,,24,months,,,3500,EUR,year,79,"The Public Economy and Administration study programme at Masaryk University is not only for people interested in working in public administration but for anyone who wants to understand the relationships between the public and private sectors, whether they later find employment in the private, public, or non-governmental non-profit sector.",Public Economics and Administration,
18,"['Graduate School of Law, Economics and Governance', 'Utrecht University']",Netherlands,http://www.mastersportal.eu/studies/585/research-in-public-administration-and-organisational-science.html,msc,24,months,120,,15167,EUR,year,100,"The M.Sc. in Research and Public Administration and Organisational Science helps you get a clear understanding of basic concepts like public policy, human resource management or public budgeting. The Master’s also analyses current social challenges such as globalisation, immigration, or multiculturalism and their impact on public and national governmental decisions.",Research in Public Administration and Organisational Science,
19,"['Department of Society and Globalisation', 'Roskilde University']",Denmark,http://www.mastersportal.eu/studies/47688/international-public-administration-and-politics.html,msc,24,months,120,,17400,EUR,year,80,"The M. Sc. in International Public Administration and Politics at Roskilde University teaches students the importance of public - private sector relations, as well as how the EU and the Western World respond to international issues and how they develop viable solutions. During the Master’s, students with have the possibility of following an internship, to better understand global dynamics.",International Public Administration and Politics,
20,"['University of Nevada, Las Vegas']",United States,http://www.mastersportal.eu/studies/93192/public-administration.html,,30,months,,,23274,USD,year,80,The Master of Public Administration degree is a 2.5-year program of study that is accredited by the National Association of Schools of Public Affairs & Administration.,Public Administration,
21,['West Chester University of Pennsylvania'],United States,http://www.mastersportal.eu/studies/188067/public-administration-human-resources-management-concentration.html,,,,,,10875,USD,year,80,The mission of the Department of Public Policy and Administration at West Chester University is to provide high quality accessible public service education for a diverse group of emerging and existing public service leaders. ,Public Administration - Human Resources Management Concentration,
22,['San José State University'],United States,http://www.mastersportal.eu/studies/128092/public-administration.html,,24,months,,,15340,USD,year,90,"The program leads to the professional degree of Master of Public Administration. It provides pre-service students with the knowledge and skills necessary for effective administration of local, state and federal government agencies and of nonprofit organizations. It also offers mid-career administrators and professionals in public service an opportunity to improve their management skills and qualifications.",Public Administration,
23,"['SOCIAL SCIENCES', 'HEC Paris School of Management']",Germany,http://www.mastersportal.eu/studies/14699/management-and-public-affairs-double-degree-with-freie-universitt-berlin.html,,24,months,,,37000,EUR,full,,The Management and Public Affairs Double Degree With Freie Universität Berlin program at HEC Paris School of Management offers an intercultural and interdisciplinary approach at the heart of the relationship between business and public administration management. It has both a research and a professional dimension.,Management and Public Affairs Double Degree With Freie Universität Berlin,
24,"['School of Global Affairs and Public Policy', 'The American University in Cairo']",Egypt,http://www.mastersportal.eu/studies/139825/public-administration.html,,,,,,3402,USD,module,91,"The Master of Public Administration is administered by the Department of Public Policy and Administration in the School of Global Affairs and Public Policy at The American University in Cairo. The program prepares students for leadership and upper management positions in public service. Students, who are generally mid-career at entry, pursue careers in government, nonprofit organizations, international development agencies, academia, and the private sector.",Public Administration,
25,['Desert Research Institute'],United States,http://www.mastersportal.eu/studies/192712/public-administration.html,,,,,,7094,USD,year,79,"Courses in the University of Nevada, Reno Master of Public Administration are designed to increase the student’s understanding of internal organizational environments and to help the student develop needed managerial skills in public programs. ",Public Administration,
26,['Auburn University'],United States,http://www.mastersportal.eu/studies/155071/masters-accelerator.html,,4,months,,,15700,USD,full,,Auburn University offers four ways for international students to enter their graduate program. One of these is the Master's Accelerator (1 Term). The entry path that is best for you will depend on your qualifications and personal preferences.,Master's Accelerator (1 Term),
27,['Bridgewater State University'],United States,http://www.mastersportal.eu/studies/167695/civic-and-nonprofit-leadership-and-administration.html,,12,months,,,70,USD,credit,79,"MPA candidates may select a generalist track or a concentration in Civic and Nonprofit Leadership and Administration. For students seeking to earn a degree with a concentration, a minimum of two elective courses must be taken in the substantive area.",Civic and Nonprofit Leadership and Administration,
28,['College of Charleston'],United States,http://www.mastersportal.eu/studies/174232/environmental-studies-and-public-administration.html,msc,24,months,,,16249,USD,year,,Explore the intricate elements of a career in the public sector with a focus on environmental issues in this exceptional and rare dual-degree program. The combined curricula of the two programs allows you the opportunity to graduate with both degrees in as few as three years without sacrificing the academic rigor of either program.,Environmental Studies and Public Administration,
29,['Auburn University'],United States,http://www.mastersportal.eu/studies/155072/masters-accelerator.html,,8,months,,,23960,USD,full,,Auburn University offers four ways for international students to enter their graduate program. One of these is the Master's Accelerator (2 Terms). The entry path that is best for you will depend on your qualifications and personal preferences.,Master's Accelerator (2 Terms),
30,['West Chester University of Pennsylvania'],United States,http://www.mastersportal.eu/studies/188066/public-administration.html,,,,,,10875,USD,year,80,The mission of the Department of Public Policy and Administration at West Chester University is to provide high quality accessible public service education for a diverse group of emerging and existing public service leaders. ,Public Administration,
31,['University of Oklahoma'],United States,http://www.mastersportal.eu/studies/123236/public-administration.html,,,,,,17820,USD,semester,79,"The Master of Public Administration is the preferred graduate degree for a career in public service, enabling our graduates to pursue a multitude of career paths in federal, state, and local government; and the nonprofit, education and private sectors.",Public Administration,
32,['University of Maryland'],United States,http://www.mastersportal.eu/studies/163147/public-management.html,,,,,,1404,USD,credit,100,"The School of Public Policy is one of the nation’s leading graduate programs devoted to the study of public policy, management and international affairs, with particular expertise in the fields of environmental policy, energy policy, international development, international security and economic policy, health policy, education policy, social policy, non-profit management, public management and leadership,acquisitions, and public finance. ",Public Management,
33,['Buffalo State SUNY'],United States,http://www.mastersportal.eu/studies/140307/higher-education-and-student-affairs-administration.html,msc,,,,,11105,USD,year,79,The Mission of the Higher Education Administration department at Buffalo State SUNY is to prepare exceptional student affairs scholar-practitioners for careers in higher education.,Higher Education and Student Affairs Administration,
34,['University of Auckland'],New Zealand,http://www.mastersportal.eu/studies/77064/property.html,,24,months,,,23642,USD,year,90,"The Master of Property (240 points) is a two year programme. The first year comprises course work, the second comprises a research thesis.",Property,
35,['University of Texas Brownsville'],United States,http://www.mastersportal.eu/studies/169803/public-affairs.html,,24,months,,,12480,USD,year,79,"The University of Texas Rio Grande Valley (UTRGV) offers a program leading to the degree of Master in Public Affairs (MPA). The MPA degree allows the student to select from two different tracks: Public Administration, and Public Policy and Management.",Public Affairs,
36,['Central Michigan University'],United States,http://www.mastersportal.eu/studies/139815/administration-health-services-administration.html,msc,,,,,13788,USD,year,79,"As a student in the health services administration program, you will gain the skills and knowledge necessary for leadership within the rapidly growing health care sector. ",Administration - Health Services Administration,
37,['University of Michigan Flint'],United States,http://www.mastersportal.eu/studies/168725/public-administration-with-a-concentration-in-criminal-justice-administration.html,,24,months,,,892,USD,credit,,"The primary objective of the concentration in Criminal Justice Administration is to provide advanced education in administration and policy anaylsis to persons already employed in agencies in the criminal justice system.  The educational needs of those with specialized, technical, or liberal arts degree, and others with limited or outdated training in administration are addressed. ",Public Administration with a Concentration in Criminal Justice Administration,
38,['Kean University'],United States,http://www.mastersportal.eu/studies/172561/public-administration-health-services-administration.html,,24,months,,,784,USD,credit,80,This concentration prepares graduates for management positions in health services organizations. The skills and knowledge required to perform effectively as health services administrators are acquired both in the classroom and in the field.,Public Administration - Health Services Administration,
39,['California State University East Bay'],United States,http://www.mastersportal.eu/studies/176549/public-administration-health-care-administration.html,,24,months,,,13782,USD,year,79,The Department of Public Affairs and Administration at Cal State East Bay offers a program of coursework leading to a Master of Public Administration (MPA) degree. The department also offers an M.S. in Health Care Administration (see the Programs of Study section of this catalog).,Public Administration - Health Care Administration,
40,['Brown University'],United States,http://www.mastersportal.eu/studies/103182/public-humanities.html,ma,24,months,,,,,,90,"The master's program in Public Humanities offers a dynamic interdisciplinary opportunity for students interested in careers in museums, historical societies, cultural planning agencies, heritage tourism, historic preservation, and community arts programs.",Public Humanities,
41,"['College of Health & Human Services', 'California State University Long Beach']",United States,http://www.mastersportal.eu/studies/74689/graduate-certificate-in-public-management-analysis.html,,,,,,,,,61,"This program is designed for men and women who work or desire to work in budgeting, policy formulation, financial management, or program evaluation offices of government agencies.",Graduate Certificate in Public Management Analysis,
42,['San Diego State University'],United States,http://www.mastersportal.eu/studies/127611/latin-american-studies-public-administration-mpa.html,ma,24,months,,,,,,80,The School of Public Affairs and the Center for Latin American Studies offer a concurrent graduate program leading to a Master of Public Administration (MPA) and a Master of Arts (MA) in Latin American Studies.  This concurrent degree program offers preparation in the fields of public administration and Latin American studies for the purpose of public administration in fields requiring bi-national understanding of administration in the public service.,Latin American Studies & Public Administration MPA,
43,['Central Michigan University'],United States,http://www.mastersportal.eu/studies/139853/administration-international-administration.html,msc,24,months,,,13788,USD,year,79,Become the leader you aspire to be on a global level with the skills and knowledge employers seek.,Administration - International Administration,
44,['Atilim University'],Turkey,http://www.mastersportal.eu/studies/167582/public-administration-and-political-science.html,,48,months,240,,8000,USD,year,,"The main objective of the program is to produce graduates well-educated in political science and public administration, with the ability to conduct research in the fields of political science and public administration. ",Public Administration and Political Science,
45,['University of Missouri - Kansas City'],United States,http://www.mastersportal.eu/studies/66932/public-administration.html,,24,months,,,,,,80,"The Master of Public Administration program prepares entrepreneurial and innovative public service leaders and executives to be effective and successful in an increasingly complex and dynamic world. Public service offers a career filled with excitement, challenge, and significance. Opportunities are numerous, ranging from positions in local, state and national and international agencies to those in health institutions and nonprofit organizations.",Public Administration,
46,['California State University San Bernardino'],United States,http://www.mastersportal.eu/studies/143908/educational-administration.html,ma,24,months,,,,,,80,"The Educational Administration focuses on the impact of educational administrators and collaboration with families and community members, responding to diverse community interests and needs, and mobilizing community resources. Emphasis on understanding, responding to, and influencing the larger political, social, economic, legal and cultural context.",Educational Administration,
47,['North West University'],South Africa,http://www.mastersportal.eu/studies/146469/public-administration.html,,24,months,,,,,,,The programme prepares students to confidently occupy their management positions in the government sector. The aim of the programme is to equip students with both management and research skills for the effective functioning within a complex environment.,Public Administration,
48,['East Tennessee University'],United States,http://www.mastersportal.eu/studies/118818/public-administration.html,,24,months,,,1292,USD,module,79,"Over 90 percent of the alumni of the MPA program are currently employed in some aspect of public management, with over two-thirds holding positions in urban administration. Approximately a third of the alumni are city managers or town administrators. Others serve as planners, financial and personnel officers, federal and state civil servants, managers and administrative officers of non-profit and private sector organizations, and other occupations connected with urban affairs. Given the expansion of professional management in many areas of public administration, the prospects for graduates of the program are excellent.",Public Administration (City Management Concentration),
49,['University of Tampere'],Finland,http://www.mastersportal.eu/studies/154253/leadership-for-change-sustainable-business-management.html,,24,months,120,,12000,EUR,year,90,"Master's Degree Programme in Leadership for Change - Sustainable Business Management delivered at  University of Tampere enables developing the kind of knowledge and expertise that is needed to explain and understand complex phenomena, become a visionary leader, and to change the world.",Leadership for Change - Sustainable Business Management,
50,['University of Idaho'],United States,http://www.mastersportal.eu/studies/66962/public-administration.html,,,,,,38598,USD,year,79,"In this program, you will gain this expansive knowledge and the broad skill set required for effective public management. Courses emphasize topics such as community planning, organizational theory, public personnel, public policy and public budgeting.",Public Administration,
51,['Columbia University'],United States,http://www.mastersportal.eu/studies/62952/public-administration.html,,24,months,,,25474,USD,semester,100,"The two-year Master of Public Administration (MPA) degree is one of the most flexible program at Columbia SIPA. Admission is competitive, based largely on academic excellence and professional focus.",Public Administration,
52,['Sonoma University'],United States,http://www.mastersportal.eu/studies/178291/public-administration.html,msc,24,months,,,2871,USD,semester,,"Offered primarily as an evening program, the Master's Degree in Public Administration (MPA) provides a rigorous 40 unit curriculum that emphasizes the background and skills required to effectively analyze, formulate, and implement public policy in local, state, and national government, and to achieve similar programmatic goals in nonprofit agencies. ",Public Administration,
53,['East Tennessee University'],United States,http://www.mastersportal.eu/studies/118840/public-administration.html,,24,months,,,1292,USD,module,79,"The public financial management major teaches students the tools of managing public expenditures (e.g. government budgeting, accounting, auditing, and procurement) and revenue generation (e.g. taxation, licensing, user fees and lotteries). The major introduces monetary issues that face every community in our society.Students will graduate with a strong background in economics, accounting, financial reporting, budget and cost benefit analysis complemented by basic managerial and organizational skills.",Public Administration (Public Financial Management Concentration),
54,['University of Louisville'],United States,http://www.mastersportal.eu/studies/125995/public-administration.html,,24,months,,,32938,USD,year,79,"The Master of Public Administration Program at the University of Louisville is central to the University's urban/metropolitan mission. The academic curriculum provides students with a solid foundation in public and nonprofit administration and prepares graduates for placement and advancement in public, private and nonprofit sector careers.",Public Administration,
55,"['Faculty of Social Sciences', 'University of Gothenburg']",Sweden,http://www.mastersportal.eu/studies/14969/international-administration-and-global-governance.html,,24,months,120,,21486,EUR,full,90,"The Master's Programme International Administration and Global Governance from the University of Gothenburg prepares students for professional careers in, as well as post-graduate research related to the field of international affairs.",International Administration and Global Governance,
56,['University of North Carolina Charlotte'],United States,http://www.mastersportal.eu/studies/111829/school-administration.html,,24,months,,,8885,USD,semester,83,"The mission of the Master of School Administration program is to prepare innovative, collaborative, effective, and reflective leaders who are prepared to develop school environments that ensure equitable and quality learning opportunities for a rapidly changing and increasingly diverse population and focus on improving the learning for ALL students.",School Administration,
57,"['School of Education', 'Loyola Marymount University']",United States,http://www.mastersportal.eu/studies/146084/school-administration.html,ma,36,months,,,,,,100,Master of Arts School Administration is offered by the  Loyola Marymount University.,School Administration,
58,"['University of Washington Bothell', 'University of Washington']",United States,http://www.mastersportal.eu/studies/79167/policy-studies.html,ma,12,months,,,28833,USD,year,83,"The Master of Arts in Policy Studies program is a community of people who believe policy can make a difference.
As a policy studies student, you will learn to apply social science theories to real-world concerns. You will use research to define and measure policy problems and to develop, evaluate, and implement solutions.",Policy Studies,
59,['Westfield State University'],United States,http://www.mastersportal.eu/studies/179917/public-management.html,ma,24,months,,,318,USD,credit,90,"The Master of Public Administration program provides a quality graduate degree that is affordable, responsive to local workforce needs and is accessible to working part-time commuting students who seek to serve the public through employment in governmental and other non-profit institutions.",Public Management,
60,['Murdoch University'],Australia,http://www.mastersportal.eu/studies/62104/public-policy-and-management.html,,24,months,,,9360,AUD,module,80,"The Master of Public Policy and Management (MPPM) equips students with the strategic, analytical and professional skills for a career in the government, non-profit, and private sectors both in Australia and internationally. It provides students with the knowledge and skills to analyse, design and implement policy in complex institutional and regulatory environments.",Public Policy and Management,
61,['University of Oklahoma'],United States,http://www.mastersportal.eu/studies/122773/regional-and-city-planning.html,,,,,,17820,USD,semester,79,"The University of Oklahoma College of Architecture prides itself on providing students with a dynamic professional education in Architecture, Construction Science, Interior Design, Landscape Architecture, Regional and City Planning and Environmental Design through a variety of undergraduate and graduate programs in interdisciplinary and collaborative settings emphasizing excellence in education, research and service to the community.",Regional and City Planning,
62,['University of Nebraska Omaha'],United States,http://www.mastersportal.eu/studies/131609/public-administration.html,,24,months,,,697,USD,module,79,"The mission of the Master of Public Administration program is to strengthen the public service in a democratic and diverse society by educating students to manage and lead public and nonprofit institutions effectively, ethically and democratically.",Public Administration,
63,['University of Southern Indiana'],United States,http://www.mastersportal.eu/studies/185605/public-administration.html,,24,months,,,692,USD,credit,,"The Master in Public Administration (MPA) degree program at the University of Southern Indiana is a course of study aimed to train and prepare students to be future managers, administrators and leaders in the public and non-profit sectors throughout the Evansville area, Southwestern Indiana, and the Tri-State region. ",Public Administration,
64,['University of Pennsylvania'],United States,http://www.mastersportal.eu/studies/63881/public-administration.html,,18,months,,,17814,USD,semester,100,"The Fels Master of Public Administration (MPA) offers a broad-based education that prepares students for leadership roles in government agencies, nonprofit organizations, and private firms engaging in public sector work. If you are committed to public service, the Fels MPA program will help you acquire the skills and knowledge needed to be successful throughout your career.",Public Administration,
65,['Syracuse University'],United States,http://www.mastersportal.eu/studies/66082/public-administration.html,,12,months,,,,,,105,"Maxwell's Department of Public Administration and International Affairs has a global reputation for producing graduates with the fundamental public management and policy analysis skill set required by employers in  public, non-profit, and private sector organizations - both domestic and international.",Public Administration,
66,"['Leiden University', 'Faculty of Social and Behavioural Sciences']",Netherlands,http://www.mastersportal.eu/studies/39948/public-administration-economics-and-governance.html,msc,12,months,60,,16600,EUR,year,100,"Solving societal problems often requires a solid multidisciplinary preparation. The Economics and Governance specialisation, offered jointly by the Department of Economics and the Institute of Public Administration, combines insights from the two disciplines.",Public Administration - Economics and Governance,
67,['Suffolk University'],United States,http://www.mastersportal.eu/studies/177697/public-administration.html,,24,months,,,1383,USD,credit,100,"Are you ready to start or advance your career in public service? Then you’ve come to the right place. The Sawyer Business School is uniquely positioned beside the Massachusetts State House and just steps away from world-renowned hospitals and health centers, and major nonprofits. We are geographically, historically, and academically the ideal training ground for future public servants.",Public Administration,
68,['University of New Haven'],United States,http://www.mastersportal.eu/studies/71513/mbampa-program.html,mba,,,,,870,USD,credit,80,"The M.B.A./M.P.A. dual degree program, University of New Haven is designed for those whose interests or career objectives are focused on both the public and private sectors of the economy. The program broadly stresses the use of management skills and analytic techniques applied to business, industrial, governmental, and not-for-profit organizations.",MBA/MPA Program,
69,"['Universitat Autònoma de Barcelona', 'Political Sciences, Society and Culture']",Spain,http://www.mastersportal.eu/studies/26013/public-administration.html,ma,12,months,60,,4500,EUR,year,,Develop the necessary knowledge and skills with a multidisciplinary outlook which will allow you to work as a professional or specialise in research in the field of public administration.,Public Administration,
70,['Peking University'],China,http://www.mastersportal.eu/studies/68332/public-administration-and-government.html,msc,24,months,,,20904,EUR,year,107,"Organised jointly by LSE and Peking University, this innovative double MSc degree offers an outstanding opportunity for graduate students and young professionals. The first year is spent at the School of Government at Peking University, with a focus on public policy and administration in China and the Asia Pacific region.",Public Administration and Government,
71,['Flinders University'],Australia,http://www.mastersportal.eu/studies/109930/public-administration-and-management.html,,24,months,,,,,,79,The Master of Public Administration (Management) is a 72-unit program which is part of the Graduate Program in Public Administration offered by the Faculty of Social and Behavioural Sciences.,Public Administration and Management,
72,['Cyprus International Institute of Management (CIIM)'],Cyprus,http://www.mastersportal.eu/studies/14413/public-sector-management.html,,18,months,120,3,16080,EUR,full,,"All over the world, governments and public institutions are challenged to provide high-quality services, respond swiftly to citizen needs and resolve problems effectively and efficiently. CIIM MPSM uniquely prepares individuals who seek to become public sector managers in this volatile, complex and uncertain international environment.",Public Sector Management,
73,['Indiana State University'],United States,http://www.mastersportal.eu/studies/143853/public-administration.html,,24,months,,,777,USD,credit,,The University offers a master of public administration (M.P.A.).,Public Administration,
74,"['University of Pittsburgh', 'Graduate School of Public and International Affairs']",United States,http://www.mastersportal.eu/studies/100248/public-administration.html,,24,months,,,35904,USD,year,90,The 48-credit MPA degree is designed to advance the core value of social equity fundamental to today’s public management. GSPIA’s programs in urban affairs and nonprofit management are consistently ranked among the very best in the country.,Public Administration,
75,"['University of Ljubljana Faculty of Social Sciences', 'University of Ljubljana']",Slovenia,http://www.mastersportal.eu/studies/50291/political-science-policy-analysis-and-public-administration.html,ma,12,months,60,,4000,EUR,year,,"The specific aim of the Political Science - Policy Analysis and Public Administration study programme delivered at University of Ljubljana - Faculty of Social Sciences is to contribute to the development of academic and applied analytical and methodological skills in the management and governance of public policies and administration, and to understand the particularities of those operations for the political administration, as well as wider subsystems of society.",Political Science - Policy Analysis and Public Administration,
76,['Tsinghua University'],China,http://www.mastersportal.eu/studies/68933/international-master-of-public-health.html,,24,months,,,,,,,The International Master of Public Health (IMPH) Program is aimed at building a new generation of global public health leaders in the developing world through the participation of recognized faculty and expertise from across Tsinghua University and partners around the world.,International Master of Public  Health (IMPH),
77,['California State University Stanislaus'],United States,http://www.mastersportal.eu/studies/189537/public-administration.html,,24,months,,,8472,USD,year,,"A master's degree in Public Administration (MPA) from California State University, Stanislaus offers you far more than a professional degree. Our program is tightly connected to the surrounding Northern San Joaquin Valley. ",Public Administration,
78,['Southeast Missouri State University'],United States,http://www.mastersportal.eu/studies/188440/public-administration.html,,24,months,,,41250,USD,credit,,"This Department is engaged in three distinct disciplines. We became a single Department in the Spring 2003 semester, offering majors in two fields: Political Science, and Philosophy and Religion. We offer a Bachelor of Arts and Bachelor of Science in Political Science, a Bachelor of Arts in Philosophy, and minors in both of those and in Religion. ",Public Administration,
79,['North Carolina State University'],United States,http://www.mastersportal.eu/studies/64258/public-administration.html,,24,months,,,10655,USD,year,100,"Preparing students for public service leadership posts, the Department offers a nationally accredited and ranked Master of Public Administration (MPA) program. The MPA degree has over 1000 alumni who hold professional positions in federal, state, and local governments, and in the non-profit and private sectors.",Public Administration,
80,['University of North Carolina at Pembroke'],United States,http://www.mastersportal.eu/studies/165285/school-administration.html,,12,months,,,9201,USD,year,,"UNCP's School Executive MSA Program is designed for professionals in education who seek exceptional opportunities   for leadership development, professional networking, and learning the knowledge base and latest advancements in education – all in an accommodating format to meet the challenging professional and personal schedules of educators. ",School Administration,
81,['Baylor University'],United States,http://www.mastersportal.eu/studies/106695/public-policy-and-administration.html,,24,months,,,1583,USD,module,80,"The Graduate Program at Baylor prepares students for careers as scholars, teachers, policy makers, public managers, and researchers. Students may apply for the PhD program in political science, or our Master's Programs, the Master of Arts in international relations (MA) and the Master of Public Policy and Administration (MPPA). The department also cooperates with Baylor's School of Law in administering the Juris Doctor and Masters of Public Policy and Administration (JD/MPPA). Students in the Ph.D. program earn the Master of Arts in Political Science in the process of completing their Ph.D. degree.",Public Policy and Administration,
82,['Carleton University'],Canada,http://www.mastersportal.eu/studies/61176/public-administration.html,ma,24,months,,,18143,CAD,year,86,"The M.A. in Public Administration is a professionally-relevant academic degree. It provides a rigorous preparation for careers in public policy and administration, recognizing that those careers may span the public, private and nonprofit sectors. It can also serve as a preparation for subsequent post-graduate education.",Public Administration,
83,['University of Wyoming'],United States,http://www.mastersportal.eu/studies/117842/public-administration.html,,,,,,13802,USD,semester,,"The University of Wyoming MPA Program is designed for experienced public officials, as well as for traditional pre-career students wanting to enter public service. Most of the students in the program have been or are employed in public or not-for-profit agencies. Pre-career students find this a valuable learning and mentoring environment that also expands opportunities for subsequent employment.",Public Administration,
84,['Jacksonville State University'],United States,http://www.mastersportal.eu/studies/193473/public-administration.html,msc,24,months,,,764,USD,credit,61,The Masters of Public Administration (MPA) degree is a professional degree primarily for students seeking a career in public service or nonprofit management.Â ,Public Administration,
