2015 Rank,2016 Rank,2017 Rank,3 Year Average,Aims Achieved,Career Progress Rank,Careers Service Rank,Country,Employment,Female Faculty %,Female Student %,Internships,Intl. Faculty,Intl. Students,Intl. board,Intl. course,Intl. mobility,Languages,Max. Course Fee (Local Currency),Num. enrolled 16/17,PHD Faculty,Prog length,Programme Name,Relevant degree,Salary Percentage Inc,Salary Today US$,School Name,Value,Weighted Salary US$,Woman Board,Programme Name,School Name,academic requirements,application deadline,application procedure,begin,language,length,program length:,reqired:,teaching language:,teaching mode,teaching mode:,tuition fees,
-,35,55,-,80,46,80,France,92 (72),33,49,100,90,16,40,22,41,0,21500,526,87,28,Master in Management,No,36,54364,ESC Rennes,71,54689,60,Master in Management - Grande Ecole Programme,ESC Rennes,no academic background in business or economics required,,,,,"the master in management is a 3 year programme for french students (basically) with 2 previous undergraduate years of studies. in that case the pge1 (first year) is dedicated to fundamentals. however, for the international students it as a two year progra","the master in management is a 3 year programme for french students (basically) with 2 previous undergraduate years of studies. in that case the pge1 (first year) is dedicated to fundamentals. however, for the international students it as a two year progra",no academic background in business or economics required,english,,full time,,
65,61,56,61,86,53,50,Netherlands,91 (94),23,44,33,43,47,20,56,31,0,19900,102,90,14,International MSc in Business Administration,No,49,54471,Tias Business School,43,54471,30,MSc in International Business Administration,TIAS School for Business and Society,no academic background in business or economics required,,,september,english,12 months,12 months,no academic background in business or economics required,english,,full time,,
60,61,57,59,90,90,40,Netherlands,85 (92),28,37,19,15,17,12,62,74,0,20500,115,95,14,MSc in Management,No,56,65342,Nyenrode Business Universiteit,54,65342,25,Master in Management (MSc),Nyenrode Business Universiteit,no academic background in business or economics required,,,august,,16 months,16 months,no academic background in business or economics required,english,,full time,,
52,55,58,55,83,93,27,Canada,90 (98),23,58,0,77,51,31,76,32,0,"C$42,006",55,100,11,Master of Management,No,51,51559,University of British Columbia: Sauder,46,51559,21,Master of Management - Early Career Masters (MM-ECM),"University of British Columbia, Sauder",no academic background in business or economics required,"february 28, 2012: early decision deadline. may 15, 2012: regular decision deadline.","applications are evaluated in the order which they are completed. once we receive all supporting documentation, your file will be sent to the admissions committee for review. conditional offers will made beginning in january once term 1 grades are available. in order for a conditional offer to be made, at least 15 credits of senior-level work must be completed and all other application requirements must be fulfilled. the admissions committee carefully evaluates the entire applicant profile as presented through academic records, gmat/gre scores, life experiences, essays and letters of recommendations.",september 2012.,english,9 months.,9 months.,no academic background in business or economics required,english,,full time,"$25,777.00 cad for canadian citizens, permanent residents (landed immigrants) and international students. tuition fees are payable in three equal installments in the first week of the following months of the program: september, january, may.",
33,46,59,46,85,92,59,France,88 (93),48,50,100,51,20,28,28,56,1,16740,305,75,31,Integrated Master in Management,No,28,55596,Télécom Business School,23,56154,22,Integrated Master's in Management,Telecom Business School (Ecole de Management),no academic background in business or economics required,,,,,3 years,3 years,no academic background in business or economics required,"english, french",,full time,,
43,41,60,48,83,78,77,Belgium,89 (95),38,35,100,22,11,50,29,54,2,8350,206,100,23,Master in Business Engineering,Yes,26,56988,Louvain School of Management,12,57321,33,Masters in Business Engineering,Louvain School of Management (IAG),no academic background in business or economics required,,,,,2 years,2 years,no academic background in business or economics required,"english, french",,full time,,
63,64,61,63,90,20,26,UK,95 (61),41,59,16,44,85,17,83,65,0,24000,186,86,14,MSc in International Business,No,54,41837,Leeds University Business School,92,42842,58,MSc International Business,Leeds University Business School,no academic background in business or economics required,,you should have a good first degree (2:1 or higher) and an interest in the subject but prior experience or qualification in this area are not required.,september,english,12 months,12 months,no academic background in business or economics required,english,,full time,"uk/eu £9,500 international £17,000 (2013 fees).there are numerous scholarships available for uk, eu and international students. further details can be found on our website.",
51,49,62,54,83,74,35,France,90 (85),38,50,100,53,12,60,41,83,2,18500,611,92,22,Essca Master in Management,No,35,53916,Essca School of Management,67,53457,60,ESSCA Master in Management,ESSCA École de Management,no academic background in business or economics required,,,,,,,no academic background in business or economics required,english,,part time,,
-,89,63,-,81,15,84,UK,70 (39),47,63,0,49,87,29,89,76,0,19200,71,88,12,MSc in Management,No,76,54452,Henley Business School,49,54452,36,MSc International Management,"University of Reading, Henley Business School",no academic background in business or economics required,,,october,,12 months,12 months,no academic background in business or economics required,english,,full time,,
49,58,64,57,87,35,85,UK,94 (81),36,45,23,49,94,47,68,81,0,17000,51,81,12,Strathclyde MSc in Business and Management,No,62,49727,University of Strathclyde Business School,74,49727,35,MSc in Business and Management,University of Strathclyde Business School,no academic background in business or economics required,,,,english,1 year,1 year,no academic background in business or economics required,english,,full time,,
64,65,65,65,84,85,94,Norway,82 (49),26,40,10,30,12,18,49,75,1,"NKr2,360",616,99,22,MSc in Economics and Business Administration,No,43,67864,NHH,14,67544,45,Master in International Business,NHH - Norwegian School of Economics,academic background in business or economics,,,august,,2 years,2 years,academic background in business or economics,english,,full time,,
66,66,66,66,85,37,88,Germany,77 (25),21,48,20,8,11,10,73,84,0,1044,275,100,24,MSc in Business Administration,No,35,75736,University of Cologne Faculty of Management,25,76680,60,MSc Business Administration,University of Cologne,no academic background in business or economics required,,,october,,2 years,2 years,no academic background in business or economics required,"english, german",,full time,,
69,63,67,66,81,52,57,France,86 (64),47,50,100,31,24,27,30,37,1,18380,585,76,28,EM Normandie Master in Management,No,42,50310,EM Normandie,81,50824,40,MSc Supply Chain Management,EM Normandie,no academic background in business or economics required,,,,,1 year,1 year,no academic background in business or economics required,english,,full time,,
-,-,68,-,85,91,38,France,n/a,41,72,100,21,23,75,67,28,1,1315,167,94,24,Master in Management,No,24,56985,Université Paris-Dauphine,8,56985,62,Dauphine Master - Management international,Université Paris-Dauphine,no academic background in business or economics required,,,,,2 years,2 years,no academic background in business or economics required,english,,full time,,
75,73,68,72,83,29,86,Poland,93 (29),44,62,3,1,16,0,75,70,1,Zloty 0,198,98,23,Master in Management,No,89,48090,Warsaw School of Economics,19,48090,43,Master's in International Business,Warsaw School of Economics (SGH),no academic background in business or economics required,,,,,2 years,2 years,no academic background in business or economics required,english,,full time,,
68,70,70,69,82,51,65,Hungary,96 (63),44,55,21,8,10,61,45,67,1,"Ft1,580,000",249,83,21,MSc in Management and Leadership,No,69,45853,Corvinus University of Budapest,6,45632,11,MSc in Management & Leadership,Corvinus University of Budapest,no academic background in business or economics required,,,,,,,no academic background in business or economics required,czech,,full time,,
-,-,71,-,80,65,83,Canada,72 (79),40,58,100,58,67,67,14,40,1,"C$29,597",52,88,14,Master of Global Business,Yes,43,46179,University of Victoria: Gustavson,63,46179,22,Master of Global Business (MGB) program,"University of Victoria, Gustavson",no academic background in business or economics required,,,,,1 year,1 year,no academic background in business or economics required,english,,full time,,
67,69,71,69,82,72,82,Finland,97 (93),35,54,49,18,16,10,52,66,0,240,398,92,26,MSc in Economics and Business Administration,No,33,52233,Hanken School of Economics,5,51772,60,Master's in General Management,Hanken School of Economics,no academic background in business or economics required,,,,,2 years,2 years,no academic background in business or economics required,english,,full time,,
74,72,73,73,87,56,28,UK,79 (48),31,54,43,54,63,42,79,77,0,17000,46,95,12,MSc in Management,No,51,44148,Lancaster University Management School,66,44148,42,Masters in Management,Lancaster University Management School (LUMS),no academic background in business or economics required,,,october,,1 year,1 year,no academic background in business or economics required,english,,full time,,
71,83,74,76,83,38,89,UK,96 (83),32,62,0,64,63,29,82,78,0,15750,86,100,12,MSc in Management,No,51,47040,University of Bath School of Management,86,47040,29,MSc in Management,University of Bath School of Management,no academic background in business or economics required,,,september,english,12 months,12 months,no academic background in business or economics required,english,,full time,,
48,60,75,61,80,82,67,France,85 (68),56,63,100,50,18,50,5,60,2,21500,305,69,24,La Rochelle Master in Management,No,37,50866,La Rochelle Business School,73,50690,33,ESC Grande Ecole Programme-Master in Management,ESC La Rochelle / La Rochelle Business School,no academic background in business or economics required,,,,,3 years,3 years,no academic background in business or economics required,english,,full time,,
-,-,76,-,81,84,69,Singapore,69 (94),22,60,0,66,93,53,81,25,0,"S$39,500",127,95,12,MSc in Management,No,36,55346,Singapore Management University: Lee Kong Chian,91,55346,24,Master of Science in Management,"Singapore Management University (SMU), Lee Kong Chian",no academic background in business or economics required,we practice a rolling admission. candidates are advised to apply as early as possible.30 apr (jul intake) / 15 oct (jan intake),good undergraduate degreea good score in gmat or smu admissions testa valid toefl/ ielts is required if the medium of instruction of your undergraduate studies was not in english.2 reference lettersshortlisted candidates may be invited for an interview by the admissions committee to ensure possession of the intellectual capabilities and motivation required to succeed in the programme.start your application online.,jan / july every year,english,12 months,12 months,no academic background in business or economics required,english,,full time,"s$41,081",
73,71,77,74,85,87,58,Norway,98 (97),27,43,18,25,18,12,53,93,0,"NKr168,000",347,75,24,MSc in Business,Yes,38,63802,BI Norwegian Business School,36,63618,50,MSc in Business,BI Norwegian School of Management,academic background in business or economics,,,,,2 years,2 years,academic background in business or economics,english,,full time,,
-,-,78,-,88,28,48,UK,n/a,34,58,3,56,94,0,87,48,0,15400,98,95,16,MSc in Management,No,61,44623,Brunel Business School,93,44623,25,Management MSc,Brunel University,academic background in business or economics,,,september,english,1 year,1 year,academic background in business or economics,english,,full time,,
61,74,79,71,80,47,87,UK,100 (40),44,43,0,28,83,43,89,27,0,14950,86,86,12,MSc in Management,No,44,41990,University of Bradford School of Management,64,41990,29,Master of Science in Management,Bradford University School of Management,no academic background in business or economics required,,,september,english,12 months,12 months,no academic background in business or economics required,english,,full time,,
-,76,80,-,80,76,79,France,69 (75),59,53,100,23,13,25,21,42,2,17000,441,77,36,MSc in Management,No,38,49440,EM Strasbourg Business School,58,49552,28,Grande école Master degree,EM Strasbourg Business School,academic background in business or economics,,,,,2 years,2 years,academic background in business or economics,english,,full time,,
76,67,81,75,77,83,62,France,92 (92),44,54,100,40,22,22,25,61,2,19000,499,75,32,Master in Management,Yes,31,48081,Burgundy School of Business,76,47876,24,Master in Management - Grande Ecole Programme,Burgundy School of Business,no academic background in business or economics required,,,,,2 years,2 years,no academic background in business or economics required,"english, french",,full time,,
72,81,82,78,81,36,93,Czech Republic,95 (82),45,56,9,7,19,35,63,68,1,"Kc97,200",402,85,28,Master in Management,No,70,38356,"University of Economics, Prague",26,38542,20,Master in Business Economics and Management,"University of Economics, Prague",academic background in business or economics,,,,,2 years,2 years,academic background in business or economics,czech,,full time,,
80,80,83,81,86,68,44,UK,40 (14),34,51,0,49,80,24,85,80,0,19000,105,86,11,MSc in International Management,No,43,48152,University of Exeter Business School,59,48152,18,MSc International Management,Exeter Business School,no academic background in business or economics required,,,,english,9 months or 12 months (as your prefer),9 months or 12 months (as your prefer),no academic background in business or economics required,english,,full time,,
-,-,84,-,83,73,55,Portugal,75 (49),47,52,0,9,26,78,74,92,0,9800,61,98,23,MSc in Business Administration,No,48,39738,ISCTE Business School,22,39738,50,MSc in International Management,ISCTE Business School,academic background in business or economics,,,,,1.5 years,1.5 years,academic background in business or economics,english,,full time,,
78,78,84,80,76,18,43,Italy,96 (71),37,34,50,9,27,59,65,72,0,6717,693,77,25,MSc in Management Engineering,No,55,44169,Politecnico di Milano School of Management,27,42734,41,Master of Science in Management Engineering,"Politecnico di Milano, School of Management",no academic background in business or economics required,,,,,2 years,2 years,no academic background in business or economics required,english,,full time,,
-,86,86,-,85,63,91,Ireland,93 (75),49,28,0,13,44,17,89,51,0,14000,64,80,12,MSc in Management,No,34,46013,DCU Business School,31,46013,42,M.Sc. in Management (Business),"Dublin City University, DCU Business School",academic background in business or economics,,,,,12 months,12 months,academic background in business or economics,english,,full time,,
-,82,87,-,76,95,74,US,51 (100),24,41,0,30,28,2,89,5,0,43682,39,90,9,MSc in Management,No,40,56500,Arizona State University: Carey,53,56500,12,Master of Science in Management,"Arizona State University, Carey",no academic background in business or economics required,,,august,,9 months,9 months,no academic background in business or economics required,english,,full time,,
-,-,88,-,81,33,63,UK,73 (68),36,79,91,44,96,12,86,53,0,21000,95,90,14,MSc in Business Analysis and Strategic Management,No,40,43755,Alliance Manchester Business School,85,43755,44,MSc International Business and Management,Alliance Manchester Business School,no academic background in business or economics required,rolling admission - please apply as early as possible.,"entry requirementsplease note: there is a non-refundable application fee of £60. we normally look for a first or upper second class honours (2:1) degree from a uk university or the overseas equivalent, in any discipline.application detailswe’re delighted that you are considering applying for one of our postgraduate courses. please view the most up-to-date admission information on the mbs website and follow the how to apply guide to submit an online application. our guide is designed to make the application process as straightforward as possible for you, and to ensure that your application is correct and submitted in plenty of time. all courses start on 21 september 2015.english language requirementsif english is not your first language, you are required to take an english language test to prove your level of proficiency.",21 september 2015,english,1 year,1 year,no academic background in business or economics required,english,,full time,"home/eu £11,000overseas £18,500financial aidplease find information about financial aid in our manchester business school profile.",
-,84,89,-,76,42,95,Netherlands,77 (51),19,43,16,41,21,0,80,46,0,14000,98,83,14,MSc in International Management,Yes,33,55838,Tilburg University,17,55838,40,MSc International Management,"Tilburg University, School of Economics and Management",academic background in business or economics,,,,,1 year,1 year,academic background in business or economics,english,,full time,,
-,87,90,-,80,80,64,Taiwan,89 (100),26,55,41,9,5,38,66,82,1,"NT$216,560",42,99,27,Master of Business Administration,No,30,41205,National Sun Yat-sen University,37,41205,38,Business Administration,National Sun Yat-Sen University,no academic background in business or economics required,,,,,2 years,2 years,no academic background in business or economics required,english,,full time,,
-,88,91,-,82,61,42,UK,100 (2),40,66,0,60,97,10,89,89,0,19500,67,73,12,MSc in Management,No,59,33822,"Adam Smith Business School, University of Glasgow",95,33822,30,Management MSc,"University of Glasgow, Smith",no academic background in business or economics required,,,,,1 year,1 year,no academic background in business or economics required,english,,full time,,
77,78,92,82,77,89,72,France,83 (74),58,36,100,34,21,0,51,59,2,23250,177,68,24,Master in Management,No,32,47098,ESC Clermont,62,46942,11,Grand Ecole Master in Management,ESC Clermont,no academic background in business or economics required,,,,english,12 months,12 months,no academic background in business or economics required,english,,full time,,
-,-,93,-,82,57,25,UK,87 (60),46,43,100,32,88,26,88,69,0,14250,150,60,13,MSc in Management,No,30,32316,Nottingham Business School at NTU,87,32316,26,MSc Management,"Nottingham Trent University, Nottingham Business School",no academic background in business or economics required,"application deadlines – 31 july for a september start, 30 november for a january start",entry requirementsyou will need an undergraduate degree equivalent to a uk undergraduate honours degree (2.2 or above).one academic or vocational reference is required.english language requirements apply.,september or january (selected routes),english,1 year,1 year,no academic background in business or economics required,english,,full time,,
-,-,94,-,80,8,90,Italy,55 (67),26,45,100,11,10,89,55,73,0,20500,267,49,25,Master in Management,Yes,69,44827,Luiss University,84,44827,33,Master in Management,Luiss University,no academic background in business or economics required,,,,,2 years,2 years,no academic background in business or economics required,english,,full time,,
-,-,95,-,85,94,92,Belgium,98 (40),38,39,3,9,1,0,54,88,0,1750,210,88,24,MSc in Business Engineering,Yes,24,45894,KU Leuven Faculty of Economics and Business,28,45894,11,Master of Business Engineering,KU Leuven,academic background in business or economics,,,,,2 years,2 years,academic background in business or economics,english,,full time,,
