,Country,CourseLink,CourseName,Duration,From,International Entry Req,The World Rank,Tuition fees,University,Venue
10, USA,https://www.hotcoursesabroad.com/india/course/us-usa/master-of-science-biotechnology/88056/program.html?nationCode=87&nationCntryCode=87,Master of Science in Biotechnology,"Full Time
(15-21 months)","19-Sep-17, 08-Jan-18, 03-Apr-18, 25-Jun-18","Admitted students must hold a U.S. bachelor’s degree - or a comparable non-U.S. degree - from a regionally accredited institution. TGS will accept applications from international students with 3-year bachelor's degrees. You may be considered for admission before you finish your undergraduate degree, but you must complete that degree before you enroll at Northwestern. International students who completed a BS or MS degree from an institution where English is the medium of instruction are not required to take the TOEFL exam.", 20,"Tuition fee - USD $14,821 per quarter (per program curriculum) or USD $4,171 course; Activity Fee USD $100 per term. Please note this fee is for 2016 and are subject to change for the coming year.",Northwestern University,"McCormick School of Engineering

2145 Sheridan Road,
EVANSTON,
Illinois,
60208, United States"
11, Canada,https://www.hotcoursesabroad.com/india/course/canada/master-of-biotechnology-mbiotech/56087956/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology (MBiotech),"Full Time
(2 years)",May-18,"Graduates of recognized academic institutions outside Canada should hold an appropriate bachelor's degree or its equivalent as assessed by the University of Toronto.
Other English Language Requirements: TOEFL Paper-based Test total score of 600 + 5.0 on TWE; Michigan English Language Assessment Battery (MELAB) score of 85, with no part score below 80; Canadian Academic English Language Assessment (CAEL) score of 70 and no part below 60; Canadian Test of English for Scholars and Trainees (CanTEST) score of 4.5, and no part below 4; a minimum grade of ""C"" in the Cambridge English Proficiency/Certificate of Proficiency in English (CPE) or a minimum grade of ""B"" in the Cambridge English Advanced/Certificate in Advanced English (CAE). English Language Diagnosis and Assessment/Certificate of Proficiency in English (ELDA/COPE): Minimum Requirement: total score of 86, with 32 in Writing and 22 in each of Reading and Listening;", 22,"CAD$41,610.00 (19,87,423) 
per year	
CAN $1,816.19 in incidental, system access and ancillary fees, plus CAN$ 204.00 in University Health Insurance Plan fees for an approximate total of CAN$ 43,630.19",University of Toronto,"Mississauga Campus (UTM)

3359 Mississauga Road North,
MISSISSAUGA,
Ontario (ON),
L5L 1C6, Canada"
12, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-msc/52977866/program.html?nationCode=87&nationCntryCode=87,Biotechnology MSc,"Full Time
(1 year)",11-Sep-17,Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,"£27,400.00 (22,74,351) 
per year",University of Edinburgh,"University of Edinburgh

Student Recruitment and Admissions,
33 Buccleuch Place,
Edinburgh,
Edinburgh,
EH8 9JS, Scotland"
13, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-pgdip/54712182/program.html?nationCode=87&nationCntryCode=87,Biotechnology PGDip,"Full Time
(9 months)",11-Sep-17,Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,"£27,400.00 (22,74,351) 
per year",University of Edinburgh,"University of Edinburgh

Student Recruitment and Admissions,
33 Buccleuch Place,
Edinburgh,
Edinburgh,
EH8 9JS, Scotland"
14, UK,https://www.hotcoursesabroad.com/india/course/uk/drug-discovery-and-protein-biotechnology-msc/55046820/program.html?nationCode=87&nationCntryCode=87,Drug Discovery and Protein Biotechnology MSc,"Distance / Online
(6 years)",11-Sep-17,Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,10 credits £930; 20 credits £1855; 60 credits £5570.,University of Edinburgh,"Run at the client site in the region of United Kingdom

UNITED KINGDOM,"
15, UK,https://www.hotcoursesabroad.com/india/course/uk/drug-discovery-and-protein-biotechnology-pgcert/55046818/program.html?nationCode=87&nationCntryCode=87,Drug Discovery and Protein Biotechnology PGCert,"Distance / Online
(2 years)",11-Sep-17,Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,10 credits £930; 20 credits £1855.,University of Edinburgh,"Run at the client site in the region of United Kingdom

UNITED KINGDOM,"
16, UK,https://www.hotcoursesabroad.com/india/course/uk/drug-discovery-and-protein-biotechnology-pgdip/55046816/program.html?nationCode=87&nationCntryCode=87,Drug Discovery and Protein Biotechnology PGDip,"Distance / Online
(4 years)",11-Sep-17,Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,10 credits £930; 20 credits £1855.,University of Edinburgh,"Run at the client site in the region of United Kingdom

UNITED KINGDOM,"
17, UK,https://www.hotcoursesabroad.com/india/course/uk/drug-discovery-and-protein-biotechnology-pgprofdev/56806662/program.html?nationCode=87&nationCntryCode=87,Drug Discovery and Protein Biotechnology PgProfDev,"Distance / Online
(2 years)",11-Sep-17,Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,10 credits £930; 20 credits £1855.,University of Edinburgh,"Run at the client site in the region of United Kingdom

UNITED KINGDOM,"
18, UK,https://www.hotcoursesabroad.com/india/course/uk/management-of-bioeconomy-innovation-and-governance-msc/53874482/program.html?nationCode=87&nationCntryCode=87,"Management of Bioeconomy, Innovation and Governance MSc","Full Time
(1 year)",11-Sep-17,Students whose first language is not English need to have IELTS: total 7.0 (at least 6.0 in each module); TOEFL-iBT: total 100 (at least 20 in each module)., 27,"£19,300.00 (16,02,006) 
per year",University of Edinburgh,"University of Edinburgh

Student Recruitment and Admissions,
33 Buccleuch Place,
Edinburgh,
Edinburgh,
EH8 9JS, Scotland"
19, UK,https://www.hotcoursesabroad.com/india/course/uk/quantitative-biology-biochemistry-and-biotechnology-phd/56820142/program.html?nationCode=87&nationCntryCode=87,"Quantitative Biology, Biochemistry and Biotechnology PhD","Full Time
(3 years)","01-Aug-17, 11-Sep-17, 01-Oct-17, 01-Nov-17, 01-Dec-17, 01-Feb-18, 01-Mar-18, 01-Apr-18, 01-May-18, 01-Jun-18, 01-Jul-18",Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,"£19,100.00 (15,85,405) 
per year",University of Edinburgh,"University of Edinburgh

Student Recruitment and Admissions,
33 Buccleuch Place,
Edinburgh,
Edinburgh,
EH8 9JS, Scotland"
20, UK,https://www.hotcoursesabroad.com/india/course/uk/synthetic-biology-and-biotechnology-msc/55478410/program.html?nationCode=87&nationCntryCode=87,Synthetic Biology and Biotechnology MSc,"Full Time
(1 year)",11-Sep-17,Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,"£27,400.00 (22,74,351) 
per year",University of Edinburgh,"University of Edinburgh

Student Recruitment and Admissions,
33 Buccleuch Place,
Edinburgh,
Edinburgh,
EH8 9JS, Scotland"
21, UK,https://www.hotcoursesabroad.com/india/course/uk/synthetic-biology-and-biotechnology-pgdip/55478408/program.html?nationCode=87&nationCntryCode=87,Synthetic Biology and Biotechnology PGDip,"Full Time
(9 months)",11-Sep-17,Students whose first language is not English need to have IELTS Academic: total 6.5 with at least 6.0 in each component; TOEFL-iBT: total 92 with at least 20 in each section., 27,"£27,400.00 (22,74,351) 
per year",University of Edinburgh,"University of Edinburgh

Student Recruitment and Admissions,
33 Buccleuch Place,
Edinburgh,
Edinburgh,
EH8 9JS, Scotland"
22, USA,https://www.hotcoursesabroad.com/india/course/us-usa/ms-biotechnology/56728272/program.html?nationCode=87&nationCntryCode=87,MS in Biotechnology,"Full Time
(30 credits)",30-Aug-17,"All applicants must possess a bachelor's degree (or equivalent international credential) and demonstrate motivation, intellectual curiosity, and the promise of great scholarly achievement.", 32,"USD $1,646 per credit hour.",New York University,"Tandon School of Engineering

6 MetroTech Center,
BROOKLYN,
New York,
11201, United States"
23, USA,https://www.hotcoursesabroad.com/india/course/us-usa/ms-biotechnology-and-entrepreneurship/56728362/program.html?nationCode=87&nationCntryCode=87,MS in Biotechnology and Entrepreneurship,"Full Time
(30 credits)",30-Aug-17,"All applicants must possess a bachelor's degree (or equivalent international credential) and demonstrate motivation, intellectual curiosity, and the promise of great scholarly achievement.", 32,"USD $1,646 per credit hour.",New York University,"Tandon School of Engineering

6 MetroTech Center,
BROOKLYN,
New York,
11201, United States"
24, Australia,https://www.hotcoursesabroad.com/india/course/australia/master-of-biotechnology/54883012/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology,"Full Time
(2 years)","24-Jul-17, 26-Feb-18, 23-Jul-18","In order to be considered for entry, applicants must have completed: An undergraduate degree in a relevant discipline: Life Sciences or Chemistry, with a Weighted Average Mark (WAM) of at least H1 (75%) for Commonwealth Supported Place or at least H3 (65%) for an Australian Fee place, including an appropriate sequence of at least 25 points of second - year genetics or biochemistry or equivalent subjects; and Completion of either GENE30002, BCMB30002 or equivalent studies in molecular biology, molecular genetics, genomics and or bioinformatics in the final year of undergraduate study. 100 Point Program: Applicants with an Honours degree in a Life Science or Chemistry, including an appropriate sequence of at least 25 points of second - year genetics or biochemistry or equivalent subjects, and completion of either GENE30002, BCMB30002 or equivalent studies in molecular biology, molecular genetics, genomics and or bioinformatics in the final year of undergraduate study may be awarded up to 100 points of credit.
Other English language requirements: IELTS (academic English Only): 6.5 (no band less than 6.0); TOEFL (paper-based test): 577 +, TWE 4.5; TOEFL (internet-based test): 79 + (Writing 21; Speaking 18; Reading 13; Listening 13); Pearson Test of English (Academic): 58 +, no communicative skill below 50; Cambridge English: Advanced/ Certificate of Advanced English (CAE): 176 +, no skill below 169.", 33,"A$35,584.00 (17,05,548) 
per year	
Indicative total course fee: AUD $72,948",University of Melbourne,"University of Melbourne

Parkville Campus,
Grattan Street,
UNIVERSITY OF MELBOURNE,
Victoria,
3010, MELBOURNE, Australia"
25, USA,https://www.hotcoursesabroad.com/india/course/us-usa/ms-biotechnology/53231028/program.html?nationCode=87&nationCntryCode=87,MS in Biotechnology,"Full Time
(2-3 Years)","06-Sep-17, 08-Jan-18",Students must have received a bachelor’s degree or equivalent from an accredited college or university., 182,"USD $1,215 (per credit hour).",Northeastern University,"Northeastern University

360 Huntington Ave.,
BOSTON,
Massachusetts,
02115, United States"
26, USA,https://www.hotcoursesabroad.com/india/course/us-usa/ms-biotechnology/56734628/program.html?nationCode=87&nationCntryCode=87,MS in Biotechnology,"Distance / Online
(3-4 Years)","06-Sep-17, 08-Jan-18",Students must have received a bachelor’s degree or equivalent from an accredited college or university., 182,Contact provider,Northeastern University,"Northeastern University

360 Huntington Ave.,
BOSTON,
Massachusetts,
02115, United States"
27, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-bioinformaticsand-bio-business/56819384/program.html?nationCode=87&nationCntryCode=87,"Biotechnology, Bioinformaticsand Bio-business","Full Time
(1 Year)",01-Sep-17,googletag.cmd.push(function() { googletag.display('iltstxt'); });, 188,Contact provider,University of Aberdeen,"University of Aberdeen

Student Recruitment and Admissions,
King's College,
Aberdeen,
Aberdeen,
AB24 3FX, Scotland"
28, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-and-business-enterprise-mres/52684890/program.html?nationCode=87&nationCntryCode=87,Biotechnology and Business Enterprise MRes,"Full Time
(12 months)",Sep-17,Students need to have an IELTS 6.5 overall (with a minimum of 6.5 in all other sub-skills)., 190,"£17,935.00 (14,88,704) 
per year",Newcastle University,"Newcastle University

King's Gate,
Newcastle upon Tyne,
Tyne and Wear,
NE1 7RU, England"
29, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-mphil/52839118/program.html?nationCode=87&nationCntryCode=87,Biotechnology MPhil,"Full Time
(12 months)",Sep-17,Students need to meet our Band 2 English Language requirements. Students need to have an IELTS score of 6.5 overall (with a minimum of 5.5 in all sub-skills)., 190,"£16,585 - £26,710 per year for international students.",Newcastle University,"Newcastle University

King's Gate,
Newcastle upon Tyne,
Tyne and Wear,
NE1 7RU, England"
30, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-phd/52741542/program.html?nationCode=87&nationCntryCode=87,Biotechnology PhD,"Full Time
(36 months)",Sep-17,Students need to meet our Band 2 English Language requirements. Students need to have an IELTS score of 6.5 overall (with a minimum of 5.5 in all sub-skills)., 190,"£16,585 - £26,710 per year for international students.",Newcastle University,"Newcastle University

King's Gate,
Newcastle upon Tyne,
Tyne and Wear,
NE1 7RU, England"
31, UK,https://www.hotcoursesabroad.com/india/course/uk/industrial-and-commercial-biotechnology-msc/52442238/program.html?nationCode=87&nationCntryCode=87,Industrial and Commercial Biotechnology MSc,"Full Time
(12 months)",Sep-17,Students need to meet our Band 2 English Language requirements. Students need to have an IELTS score of 6.5 overall (with a minimum of 5.5 in all sub-skills)., 190,"£17,935.00 (14,88,704) 
per year",Newcastle University,"Newcastle University

King's Gate,
Newcastle upon Tyne,
Tyne and Wear,
NE1 7RU, England"
32, Canada,https://www.hotcoursesabroad.com/india/course/canada/master-of-biotechnology-mbt-mba-master-of-business-administration/56023572/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology (MBT) / MBA - Master of Business Administration,"Full Time
(Variable)","12 Sep, 09 Jan","A four-year baccalaureate degree or an equivalent degree from a recognized institution. You must have a minimum grade point average equivalent to 3.0 on a 4.0 point system over the past two years of full-time study. Some graduate programs require a higher grade point average for admission. The degree must include appropriate course content for the graduate program applied for and adequate senior level courses to ensure preparation for graduate work. Any previous graduate work is also considered.
Other English Language Requirements:
TOEFL score of 600 (paper-based); Successful completion of Tier 3 of the English for Academic Purposes (EAP) program; a minimum score of 80 on the MELAB (Michigan English Language Battery) and a minimum score of 59 on the PTE (Pearson test of English).", 195,"Master of Biotechnology (MBT): CAN $12,975.12; MBA - Master of Business Administration: CAN $25,849.68.",University of Calgary,"Haskayne School of Business

Scurfield Hall,
2500 University Dr NW,
CALGARY,
Alberta (AB),
T2N 1N4, Canada"
33, Canada,https://www.hotcoursesabroad.com/india/course/canada/master-of-biotechnology-mbt-mba-master-of-business-administration/56023654/program.html?nationCode=87&nationCntryCode=87,Master of Biotechnology (MBT) / MBA - Master of Business Administration,"Full Time
(Variable)","12 Sep, 09 Jan","A four-year baccalaureate degree or an equivalent degree from a recognized institution. You must have a minimum grade point average equivalent to 3.0 on a 4.0 point system over the past two years of full-time study. Some graduate programs require a higher grade point average for admission. The degree must include appropriate course content for the graduate program applied for and adequate senior level courses to ensure preparation for graduate work. Any previous graduate work is also considered.
Other English Language Requirements:
TOEFL score of 600 (paper-based); Successful completion of Tier 3 of the English for Academic Purposes (EAP) program; a minimum score of 80 on the MELAB (Michigan English Language Battery) and a minimum score of 59 on the PTE (Pearson test of English).", 195,"Master of Biotechnology (MBT): CAN $12,975.12; MBA - Master of Business Administration: CAN $25,849.68.",University of Calgary,"Cumming School of Medicine

Health Sciences Centre, Foothills Campus,
3330 Hospital Drive NW,
CALGARY,
Alberta (AB),
T2N 4N1, Canada"
34, USA,https://www.hotcoursesabroad.com/india/course/us-usa/dual-degree-of-mba-master-of-business-administration-and-master-of-science-biotechnology/56534504/program.html?nationCode=87&nationCntryCode=87,Dual Degree of MBA - Master of Business Administration and Master of Science in Biotechnology,"Full Time
(96 credit hours)","25 Aug, 17 Jan",Student have completed at least the normal four-year program (or international equivalent) leading to the bachelor's degree and Minimum scores for each exam are 600 on the paper-based (TOEFL); 250 on the computer-based (TOEFL) will be considered for admission to the Graduate School., 198,"$47,814.00 (30,79,174) 
per year	
$47,814/year for MA Program . This is the annual fee for regular masters degree and is offered as a guide",Brandeis University,"Graduate School of Arts and Sciences, Department of Near Eastern and Judaic Studies

Lown 211 MS 054,
415 South Street,
WALTHAM,
Massachusetts,
02453, United States"
35, USA,https://www.hotcoursesabroad.com/india/course/us-usa/dual-degree-of-mba-master-of-business-administration-and-master-of-science-biotechnology/56534622/program.html?nationCode=87&nationCntryCode=87,Dual Degree of MBA - Master of Business Administration and Master of Science in Biotechnology,"Full Time
(96 credit hours)","25 Aug, 17 Jan",Student have completed at least the normal four-year program (or international equivalent) leading to the bachelor's degree and Minimum scores for each exam are 600 on the paper-based (TOEFL); 250 on the computer-based (TOEFL) will be considered for admission to the Graduate School., 198,"$48,150.00 (31,00,812) 
per year	
$48150/year for MBA Program . This is the annual fee for regular masters degree and is offered as a guide",Brandeis University,"Graduate School of Arts and Sciences, Department of Near Eastern and Judaic Studies

Lown 211 MS 054,
415 South Street,
WALTHAM,
Massachusetts,
02453, United States"
36, USA,https://www.hotcoursesabroad.com/india/course/us-usa/m-s-biotechnology/53959720/program.html?nationCode=87&nationCntryCode=87,M.S. in Biotechnology,"Full Time
(2 years)","25 Aug, 17 Jan",Student have completed at least the normal four-year program (or international equivalent) leading to the bachelor's degree and Minimum scores for each exam are 600 on the paper-based (TOEFL); 250 on the computer-based (TOEFL) will be considered for admission to the Graduate School., 198,"$35,480.00 (22,84,877) 
per year	
USD $17,740 per term",Brandeis University,"Graduate School of Arts and Sciences, PSM Program in Biotechnology

Bassine Building MS 008 PO Box 549110,
Brandeis University,
WALTHAM,
Massachusetts,
02454, United States"
37, UK,https://www.hotcoursesabroad.com/india/course/uk/molecular-biology-and-biotechnology-msc/52393792/program.html?nationCode=87&nationCntryCode=87,Molecular Biology and Biotechnology MSc,"Full Time
(1 year)",Sep-17,"Students for whom English is not their first language, must be able to demonstrate their proficiency in English in order to benefit fully from their studies. Non-EEA nationals must also satisfy UK Visas and Immigration (UKVI) immigration requirements for English language for visa purposes. Evidence of an IELTS score of 6.0, with not less than 5.5 in any component, or an equivalent qualification acceptable to the University is required.", 201,"£19,000.00 (15,77,105) 
per year",Queen's University Belfast,"Queen's University Belfast

University Road,
Belfast,
Antrim,
BT7 1NN, Northern Ireland"
38, Finland,https://www.hotcoursesabroad.com/india/course/finland/master-of-science-technology-chemical-biochemical-and-materials-engineering-biotechnology/56312418/program.html?nationCode=87&nationCntryCode=87,"Master of Science (Technology) in Chemical, Biochemical and Materials Engineering - Biotechnology","Full Time
(2 years)",04-Sep-17,"An appropriate Bachelor´s degree or an equivalent qualification.

Major specific criteria for academic evaluation

Content of the previous degree
Study success
Recognition and quality of the home university
Motivation and commitment
Other relevant achievements
Recommendation letter
Language proficiency

English Language Requirements:
TOEFL (PBT = Paper Based Test) score of 580, Writing score: 22 (IBT), 4.0 (PBT); CAE/CPE (CAE = Cambridge Certificate of Advanced English, CPE = Cambridge Certificate of Proficiency in English): Grades accepted: A, B, C; Pearson Test of English (PTE Academic only) Total score: 59, Writing score: 50.", 201,"€15,000.00 (10,89,785) 
per year",Aalto University,"Arabia Campus

Hämeentie 135 C,
HELSINKI,
Uusimaa,
FI-00076, Finland"
39, Finland,https://www.hotcoursesabroad.com/india/course/finland/master-of-science-technology-life-science-technologies-biosensing-and-bioelectronics/56312470/program.html?nationCode=87&nationCntryCode=87,Master of Science (Technology) in Life Science Technologies (Biosensing and Bioelectronics),"Full Time
(2 years)",04-Sep-17,"Applicants to the Biosensing and -electronics major should have a Bachelor’s degree in Bioinformation Technology, Electronics and Electrical Engineering, Automation and Information Technology, Materials Science, Micro & Nanotechnology, Physics or in a closely related field.
Required background knowledge: studies encompassing at least 60 ECTS credits in

 mathematics
 chemistry/materials science
 physics, and
 computer programming.

English Language Requirements:
TOEFL (PBT = Paper Based Test) score of 580, Writing score: 22 (IBT), 4.0 (PBT); CAE/CPE (CAE = Cambridge Certificate of Advanced English, CPE = Cambridge Certificate of Proficiency in English): Grades accepted: A, B, C; Pearson Test of English (PTE Academic only) Total score: 59, Writing score: 50.", 201,"€15,000.00 (10,89,785) 
per year",Aalto University,"Aalto University

Otaniemi Campus,
Otakaari 1, room Y199a,
ESPOO,
Uusimaa,
02150, Finland"
40, Ireland,https://www.hotcoursesabroad.com/india/course/ireland/msc-biotechnology/52625612/program.html?nationCode=87&nationCntryCode=87,MSc in Biotechnology,"Full Time
(1 Year)",11-Sep-17,"Candidates are expected to have an upper second class honours grade or international equivalent in a Biology or Chemistry primary degree. This includes a degree in Biotechnology, Biochemistry, Microbiology, Genetics, Neuroscience, Pharmacology, Physiology, Medicinal Chemistry or an equivalent qualification.

Graduates with equivalent qualifications in related areas of science and technology or with proven relevant industrial experience will be considered for places.", 201,"€23,800.00 (17,29,125) 
per year",University College Dublin,"UCD College of Science

Room E1 09, UCD O'Brien Centre for Science,
University College Dublin,
BELFIELD,
Dublin,
 Republic of Ireland"
41, Ireland,https://www.hotcoursesabroad.com/india/course/ireland/msc-biotechnology-and-business/56857932/program.html?nationCode=87&nationCntryCode=87,MSc in Biotechnology and Business,"Full Time
(1 Year)",11-Sep-17,"This programme is intended for applicants with a degree in Biology or Chemistry related discipline. An upper second class honours or international equivalent is required.
Graduates with equivalent qualifications in related areas of science and technology or with proven relevant industrial experience will be considered for places.", 201,"€23,800.00 (17,29,125) 
per year",University College Dublin,"UCD College of Science

Room E1 09, UCD O'Brien Centre for Science,
University College Dublin,
BELFIELD,
Dublin,
 Republic of Ireland"
